query_original,query_type,matched_term,match_basis,match_confidence,review_status,source_system,study_id,study_title,accession_or_contrast,study_link,sample_matrix,intervention_timing,platform,sex_or_subgroup,metabolite,refmet_name,source_metabolite_raw,class,superclass,subclass,log2fc,p_value,fdr,direction,significance_call,effect_interpretation,provenance_file,missing_evidence
acylcarnitine,class,c26 carnitine,inferred_name_pattern,requires_human_review,requires_human_review,MoTrPAC DataHub,pass1b06,"MoTrPAC PASS1B-06 rat endurance training (plasma, 8 weeks)",pass1b06 plasma :: 8w training vs sedentary control,https://motrpac-data.org/data-download,plasma,8-week endurance training vs sedentary control,MoTrPAC consortium timewise DEA (search_public API),male,c26 carnitine,car(26:0),c26 carnitine,,,,-0.20548782,0.1970746,1.0,down_in_numerator,not_significant,"0.21 log2-units lower in HIGHER at 8w training vs sedentary (p=1.97e-01, FDR=1.00e+00)",data/live/volcano_motrpac_pass1b06_plasma_8w.csv,refmet_class_annotation
acylcarnitine,class,car(5:1),inferred_name_pattern,requires_human_review,requires_human_review,MoTrPAC DataHub,pass1b06,"MoTrPAC PASS1B-06 rat endurance training (plasma, 8 weeks)",pass1b06 plasma :: 8w training vs sedentary control,https://motrpac-data.org/data-download,plasma,8-week endurance training vs sedentary control,MoTrPAC consortium timewise DEA (search_public API),female,car(5:1),car(5:1),,,,,-0.17341895,0.24567811,1.0,down_in_numerator,not_significant,"0.17 log2-units lower in HIGHER at 8w training vs sedentary (p=2.46e-01, FDR=1.00e+00)",data/live/volcano_motrpac_pass1b06_plasma_8w.csv,refmet_class_annotation;source_metabolite_name
acylcarnitine,class,car(4:0),inferred_name_pattern,requires_human_review,requires_human_review,MoTrPAC DataHub,pass1b06,"MoTrPAC PASS1B-06 rat endurance training (plasma, 8 weeks)",pass1b06 plasma :: 8w training vs sedentary control,https://motrpac-data.org/data-download,plasma,8-week endurance training vs sedentary control,MoTrPAC consortium timewise DEA (search_public API),female,car(4:0),car(4:0),,,,,0.23344536,0.25340754,1.0,up_in_numerator,not_significant,"0.23 log2-units higher in HIGHER at 8w training vs sedentary (p=2.53e-01, FDR=1.00e+00)",data/live/volcano_motrpac_pass1b06_plasma_8w.csv,refmet_class_annotation;source_metabolite_name
acylcarnitine,class,car(20:1-oh)_feature1,inferred_name_pattern,requires_human_review,requires_human_review,MoTrPAC DataHub,pass1b06,"MoTrPAC PASS1B-06 rat endurance training (plasma, 8 weeks)",pass1b06 plasma :: 8w training vs sedentary control,https://motrpac-data.org/data-download,plasma,8-week endurance training vs sedentary control,MoTrPAC consortium timewise DEA (search_public API),female,car(20:1-oh)_feature1,car(20:1(oh)),car(20:1-oh)_feature1,,,,-0.28141192,0.25360516,1.0,down_in_numerator,not_significant,"0.28 log2-units lower in HIGHER at 8w training vs sedentary (p=2.54e-01, FDR=1.00e+00)",data/live/volcano_motrpac_pass1b06_plasma_8w.csv,refmet_class_annotation
acylcarnitine,class,car(18:2)_feature1,inferred_name_pattern,requires_human_review,requires_human_review,MoTrPAC DataHub,pass1b06,"MoTrPAC PASS1B-06 rat endurance training (plasma, 8 weeks)",pass1b06 plasma :: 8w training vs sedentary control,https://motrpac-data.org/data-download,plasma,8-week endurance training vs sedentary control,MoTrPAC consortium timewise DEA (search_public API),female,car(18:2)_feature1,car(18:2)_lp_a,car(18:2)_feature1,,,,-0.33901617,0.26057774,1.0,down_in_numerator,not_significant,"0.34 log2-units lower in HIGHER at 8w training vs sedentary (p=2.61e-01, FDR=1.00e+00)",data/live/volcano_motrpac_pass1b06_plasma_8w.csv,refmet_class_annotation
acylcarnitine,class,car(6:0),inferred_name_pattern,requires_human_review,requires_human_review,MoTrPAC DataHub,pass1b06,"MoTrPAC PASS1B-06 rat endurance training (plasma, 8 weeks)",pass1b06 plasma :: 8w training vs sedentary control,https://motrpac-data.org/data-download,plasma,8-week endurance training vs sedentary control,MoTrPAC consortium timewise DEA (search_public API),male,car(6:0),car(6:0),,,,,-0.19816379,0.26058084,1.0,down_in_numerator,not_significant,"0.20 log2-units lower in HIGHER at 8w training vs sedentary (p=2.61e-01, FDR=1.00e+00)",data/live/volcano_motrpac_pass1b06_plasma_8w.csv,refmet_class_annotation;source_metabolite_name
acylcarnitine,class,car(3:0),inferred_name_pattern,requires_human_review,requires_human_review,MoTrPAC DataHub,pass1b06,"MoTrPAC PASS1B-06 rat endurance training (plasma, 8 weeks)",pass1b06 plasma :: 8w training vs sedentary control,https://motrpac-data.org/data-download,plasma,8-week endurance training vs sedentary control,MoTrPAC consortium timewise DEA (search_public API),female,car(3:0),car(3:0),,,,,0.17157753,0.27277097,1.0,up_in_numerator,not_significant,"0.17 log2-units higher in HIGHER at 8w training vs sedentary (p=2.73e-01, FDR=1.00e+00)",data/live/volcano_motrpac_pass1b06_plasma_8w.csv,refmet_class_annotation;source_metabolite_name
acylcarnitine,class,car(12:0)_feature2,inferred_name_pattern,requires_human_review,requires_human_review,MoTrPAC DataHub,pass1b06,"MoTrPAC PASS1B-06 rat endurance training (plasma, 8 weeks)",pass1b06 plasma :: 8w training vs sedentary control,https://motrpac-data.org/data-download,plasma,8-week endurance training vs sedentary control,MoTrPAC consortium timewise DEA (search_public API),female,car(12:0)_feature2,car(12:0)_lp_b,car(12:0)_feature2,,,,-0.25458696,0.293347,1.0,down_in_numerator,not_significant,"0.25 log2-units lower in HIGHER at 8w training vs sedentary (p=2.93e-01, FDR=1.00e+00)",data/live/volcano_motrpac_pass1b06_plasma_8w.csv,refmet_class_annotation
acylcarnitine,class,car(20:2)_feature1,inferred_name_pattern,requires_human_review,requires_human_review,MoTrPAC DataHub,pass1b06,"MoTrPAC PASS1B-06 rat endurance training (plasma, 8 weeks)",pass1b06 plasma :: 8w training vs sedentary control,https://motrpac-data.org/data-download,plasma,8-week endurance training vs sedentary control,MoTrPAC consortium timewise DEA (search_public API),female,car(20:2)_feature1,car(20:2)_lp_a,car(20:2)_feature1,,,,-0.22597463,0.32003006,1.0,down_in_numerator,not_significant,"0.23 log2-units lower in HIGHER at 8w training vs sedentary (p=3.20e-01, FDR=1.00e+00)",data/live/volcano_motrpac_pass1b06_plasma_8w.csv,refmet_class_annotation
acylcarnitine,class,car(18:1)_feature1,inferred_name_pattern,requires_human_review,requires_human_review,MoTrPAC DataHub,pass1b06,"MoTrPAC PASS1B-06 rat endurance training (plasma, 8 weeks)",pass1b06 plasma :: 8w training vs sedentary control,https://motrpac-data.org/data-download,plasma,8-week endurance training vs sedentary control,MoTrPAC consortium timewise DEA (search_public API),male,car(18:1)_feature1,car(18:1)_lp_a,car(18:1)_feature1,,,,-0.25711063,0.33108026,1.0,down_in_numerator,not_significant,"0.26 log2-units lower in HIGHER at 8w training vs sedentary (p=3.31e-01, FDR=1.00e+00)",data/live/volcano_motrpac_pass1b06_plasma_8w.csv,refmet_class_annotation
