query_original,query_type,refmet_level,refmet_label,match_basis,match_confidence,review_status,n_class_rows,n_class_significant,n_class_up_significant,n_class_down_significant,class_significant_fraction,n_background_rows,n_background_significant,n_nonclass_background_rows,n_nonclass_background_significant,background_significant_fraction,enrichment_ratio,fisher_exact_p,source_systems,study_ids,source_files,example_metabolites,significance_threshold,interpretation,missing_evidence
all,enrichment,main_class,Carnitines,refmet_hierarchy_annotation,accepted_curated,accepted_curated,7,3,0,3,0.42857142857142855,1503,467,1496,464,0.3107119095143047,1.3793208932395227,0.37724169373371974,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,Carnitine [metab-u-hilicpos]; carnitine [metab-u-lrppos]; D-Carnitine; carnitine; L-Carnitine; Carnitine [metab-u-rppos],FDR<0.05,"Carnitines has 3/7 annotated rows significant at FDR<0.05; enrichment ratio=1.38, one-sided Fisher p=3.77e-01.",
all,enrichment,main_class,Phenylpropanoids,refmet_hierarchy_annotation,accepted_curated,accepted_curated,10,4,1,3,0.4,1503,467,1493,463,0.3107119095143047,1.2873661670235548,0.37898227558722497,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,Phenylpyruvic acid [metab-u-ionpneg]; Rosmarinic acid [metab-u-rpneg]; HYDROXYPHENYLLACTIC ACID; Phenyllactic acid [metab-u-rpneg]; 3-Hydroxyphenylacetic acid; Cinnamoylglycine [metab-u-hilicpos]; Hydroxyphenyllactic acid [metab-u-rpneg]; hydroxyphenyllactic acid,FDR<0.05,"Phenylpropanoids has 4/10 annotated rows significant at FDR<0.05; enrichment ratio=1.29, one-sided Fisher p=3.79e-01.",
all,enrichment,main_class,Isoprenoids,refmet_hierarchy_annotation,accepted_curated,accepted_curated,8,3,1,2,0.375,1503,467,1495,464,0.3107119095143047,1.2069057815845825,0.47550876282838217,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,Abietic acid; Retinol [metab-u-hilicpos]; 13-cis-Retinoic acid [metab-u-hilicpos]; retinoate; vitamin a; Retinoic acid [metab-u-rpneg],FDR<0.05,"Isoprenoids has 3/8 annotated rows significant at FDR<0.05; enrichment ratio=1.21, one-sided Fisher p=4.76e-01.",
all,enrichment,main_class,Organonitrogen compounds,refmet_hierarchy_annotation,accepted_curated,accepted_curated,5,2,1,1,0.4,1503,467,1498,465,0.3107119095143047,1.2873661670235548,0.4938705776653332,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,Ureidopropionic acid [metab-u-hilicpos]; 5-Acetylamino-6-amino-3-methyluracil [metab-u-hilicpos]; n-carbamoyl-beta-alanine; Urea,FDR<0.05,"Organonitrogen compounds has 2/5 annotated rows significant at FDR<0.05; enrichment ratio=1.29, one-sided Fisher p=4.94e-01.",
all,enrichment,main_class,Alcohols and polyols,refmet_hierarchy_annotation,accepted_curated,accepted_curated,2,1,1,0,0.5,1503,467,1501,466,0.3107119095143047,1.6092077087794432,0.5250245182071672,MoTrPAC DataHub,human-precovid-sed-adu,data/live/volcano_motrpac_human_plasma_endur_post.csv,"Glycerol [metab-t-conv]; trans-Cyclohexane-1,2-diol [metab-u-rppos]",FDR<0.05,"Alcohols and polyols has 1/2 annotated rows significant at FDR<0.05; enrichment ratio=1.61, one-sided Fisher p=5.25e-01.",small_refmet_class_n
all,enrichment,main_class,Phenols,refmet_hierarchy_annotation,accepted_curated,accepted_curated,2,1,1,0,0.5,1503,467,1501,466,0.3107119095143047,1.6092077087794432,0.5250245182071672,MoTrPAC DataHub,human-precovid-sed-adu,data/live/volcano_motrpac_human_plasma_endur_post.csv,Acetaminophen [metab-u-hilicpos]; Acetaminophen [metab-u-rppos],FDR<0.05,"Phenols has 1/2 annotated rows significant at FDR<0.05; enrichment ratio=1.61, one-sided Fisher p=5.25e-01.",small_refmet_class_n
all,enrichment,main_class,Keto acids,refmet_hierarchy_annotation,accepted_curated,accepted_curated,10,3,0,3,0.3,1503,467,1493,464,0.3107119095143047,0.9655246252676659,0.645959401951502,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,DMGV [metab-u-hilicpos]; dmgv; 4-METHYL-2-OXO-PENTANOIC ACID; 3-methyl-2-oxovalerate; 3-Methyl-2-oxovaleric acid [metab-u-rpneg]; ketoleucine; Ketoleucine [metab-u-rpneg],FDR<0.05,"Keto acids has 3/10 annotated rows significant at FDR<0.05; enrichment ratio=0.97, one-sided Fisher p=6.46e-01.",
all,enrichment,main_class,Short-chain acids,refmet_hierarchy_annotation,accepted_curated,accepted_curated,10,3,1,2,0.3,1503,467,1493,464,0.3107119095143047,0.9655246252676659,0.645959401951502,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,Pyruvic acid [metab-u-ionpneg]; Pyruvic acid; Phosphoglyceric acid [metab-u-ionpneg]; Lactic acid [metab-u-ionpneg]; L-(+)-Lactic acid; lactic acid; Glyceraldehyde 3-phosphate [metab-u-ionpneg]; pyruvate,FDR<0.05,"Short-chain acids has 3/10 annotated rows significant at FDR<0.05; enrichment ratio=0.97, one-sided Fisher p=6.46e-01.",
all,enrichment,main_class,Amine oxides,refmet_hierarchy_annotation,accepted_curated,accepted_curated,3,1,0,1,0.3333333333333333,1503,467,1500,466,0.3107119095143047,1.0728051391862954,0.6728017000834952,MoTrPAC DataHub,human-precovid-sed-adu;pass1b06,data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,Trimethylamine N-oxide [metab-u-hilicpos]; trimethylamine-n-oxide,FDR<0.05,"Amine oxides has 1/3 annotated rows significant at FDR<0.05; enrichment ratio=1.07, one-sided Fisher p=6.73e-01.",
all,enrichment,main_class,Cyclic ureas,refmet_hierarchy_annotation,accepted_curated,accepted_curated,3,1,0,1,0.3333333333333333,1503,467,1500,466,0.3107119095143047,1.0728051391862954,0.6728017000834952,MoTrPAC DataHub,human-precovid-sed-adu;pass1b06,data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,Allantoin [metab-u-hilicpos]; allantoin,FDR<0.05,"Cyclic ureas has 1/3 annotated rows significant at FDR<0.05; enrichment ratio=1.07, one-sided Fisher p=6.73e-01.",
all,enrichment,main_class,Phenylacetic acids,refmet_hierarchy_annotation,accepted_curated,accepted_curated,3,1,0,1,0.3333333333333333,1503,467,1500,466,0.3107119095143047,1.0728051391862954,0.6728017000834952,MoTrPAC DataHub,human-precovid-sed-adu;pass1b06,data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,Phenylacetic acid [metab-u-rpneg]; phenylacetate,FDR<0.05,"Phenylacetic acids has 1/3 annotated rows significant at FDR<0.05; enrichment ratio=1.07, one-sided Fisher p=6.73e-01.",
all,enrichment,main_class,Benzenes,refmet_hierarchy_annotation,accepted_curated,accepted_curated,15,4,2,2,0.26666666666666666,1503,467,1488,463,0.3107119095143047,0.8582441113490364,0.7346231640255998,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,"4-Hydroxy-3-methylacetophenone [metab-u-hilicpos]; 3-Aminobenzamide; N-Benzylformamide; 2,5-dihydroxybenzenesulfonate; Valdecoxib; Xylenesulfonate; trimethylbenzene; bis(2-ethylhexyl)phthalate",FDR<0.05,"Benzenes has 4/15 annotated rows significant at FDR<0.05; enrichment ratio=0.86, one-sided Fisher p=7.35e-01.",
