feature_id,refmet_name,refmet_super_class,effect,effect_scale,p_value,fdr,fdr_method,fdr_scope,fdr_source,selection_status,source_study_id,source_dataset_id,contrast_id,platform,sex
OCTANOYLCARNITINE [refmet: CAR 8:0],CAR 8:0,Fatty Acyls,0.9270228253743664,log2fc,0.0003290647169551503,0.001346634072462615,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
Decanoic acid [refmet: Capric acid],Capric acid,Fatty Acyls,1.290527118025196,log2fc,0.000582500024810693,0.002093851440535734,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
Decanoylcarnitine [refmet: CAR 10:0],CAR 10:0,Fatty Acyls,1.0254736498761636,log2fc,0.0006003879007258081,0.0021293757545741993,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
N4-Acetylcytidine,N4-Acetylcytidine,Nucleic acids,0.12842500883292543,log2fc,0.0006425889462022233,0.0021913930729460435,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
6-Hydroxycaproic acid,6-Hydroxycaproic acid,Fatty Acyls,0.5206513401225082,log2fc,0.0009804045204133912,0.003219600029999532,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
D-Pantothenic Acid [refmet: Pantothenic acid],Pantothenic acid,Organic acids,0.34433148222193605,log2fc,0.0012523337373535489,0.003965723501619571,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
PC 32:1,PC 32:1,Glycerophospholipids,0.1775110250081653,log2fc,0.001645239383574911,0.005088763674778213,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
Myriocin,Myriocin,Fatty Acyls,0.7025428399647157,log2fc,0.0019248362608535697,0.005688960504300551,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
7-Methylguanosine,7-Methylguanosine,Nucleic acids,0.20543190672920386,log2fc,0.0022453653282715575,0.0064222277131207985,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
Uracil,Uracil,Nucleic acids,0.317194855964012,log2fc,0.005065622561035688,0.013749546951382582,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
