feature_id,refmet_name,refmet_super_class,effect,effect_scale,p_value,fdr,fdr_method,fdr_scope,fdr_source,selection_status,source_study_id,source_dataset_id,contrast_id,platform,sex
Bilirubin [metab-u-rppos] [refmet: Bilirubin],Bilirubin,Organoheterocyclic compounds,1.23328288324804,log2fc,1.0073834575438301e-20,9.46940450091196e-19,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-rppos,
Cer(d41:2)>Cer(d18:2/23:0) [metab-u-lrppos] [refmet: Cer(d41:2)>Cer(d18:2/23:0)],Cer(d41:2)>Cer(d18:2/23:0),unclassified_no_refmet_match,0.208871670796412,log2fc,2.55938911277377e-20,1.1462406955065399e-18,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-lrppos,
FA 24:4 [metab-u-lrpneg] [refmet: FA 24:4],FA 24:4,unclassified_no_refmet_match,0.388595839187609,log2fc,1.0741336136716e-20,1.4554510465250099e-18,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-lrpneg,
CAR 14:2 [metab-u-hilicpos] [refmet: CAR 14:2],CAR 14:2,Fatty Acyls,0.772998511430501,log2fc,1.1127612584134899e-18,2.3708953873767202e-17,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-hilicpos,
LPE 22:6 [metab-u-hilicpos] [refmet: LPE 22:6],LPE 22:6,Glycerophospholipids,0.376356101872741,log2fc,1.21931762779374e-18,2.3708953873767202e-17,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-hilicpos,
CAR DC6:0 [metab-u-hilicpos] [refmet: CAR DC6:0],CAR DC6:0,Fatty Acyls,0.292502389703296,log2fc,1.13453513617869e-18,2.3708953873767202e-17,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-hilicpos,
CAR 18:2 [metab-u-hilicpos] [refmet: CAR 18:2],CAR 18:2,Fatty Acyls,0.458480189926204,log2fc,1.39955303490572e-18,2.4657902255972102e-17,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-hilicpos,
Heptadecanedioic acid [metab-u-rpneg] [refmet: Heptadecanedioic acid],Heptadecanedioic acid,Fatty Acyls,0.83030883641224,log2fc,2.41697462346989e-18,4.10885685989881e-17,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-rpneg,
Car(16:0) [metab-u-lrppos] [refmet: Car(16:0)],Car(16:0),unclassified_no_refmet_match,0.257145312256558,log2fc,1.48788934803088e-18,5.2134964084629104e-17,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-lrppos,
Car(14:0) [metab-u-lrppos] [refmet: Car(14:0)],Car(14:0),unclassified_no_refmet_match,0.46203572241745,log2fc,4.41617330113332e-18,1.4573371893739899e-16,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-lrppos,
PI(40:6) [metab-u-lrppos] [refmet: PI(40:6)],PI(40:6),unclassified_no_refmet_match,0.299735400933091,log2fc,6.7363931690651896e-18,2.0112945319066099e-16,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-lrppos,
Aminobutyric acid [metab-u-hilicpos] [refmet: Aminobutyric acid],Aminobutyric acid,Fatty Acyls,0.242539178749729,log2fc,1.30552648076087e-16,2.17587746793478e-15,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-hilicpos,
Leucine [metab-u-hilicpos] [refmet: Leucine],Leucine,Organic acids,0.146765252992406,log2fc,1.84655232328086e-16,2.9376968779468303e-15,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-hilicpos,
Car(14:2)_isomer1 [metab-u-lrppos] [refmet: Car(14:2)_isomer1],Car(14:2)_isomer1,unclassified_no_refmet_match,0.665183888898106,log2fc,2.09122637245563e-16,5.2447957421187206e-15,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-lrppos,
N-Myristoylglycine [metab-u-hilicpos] [refmet: N-Myristoylglycine],N-Myristoylglycine,unclassified_no_refmet_match,0.256646314157466,log2fc,7.679581077550029e-16,1.075141350857e-14,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-hilicpos,
SM 18:1;O2/18:1 [metab-u-hilicpos] [refmet: SM 18:1;O2/18:1],SM 18:1;O2/18:1,Sphingolipids,0.181492142544833,log2fc,1.1062216641338701e-15,1.48914454787252e-14,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-hilicpos,
4-Hydroxy-3-methylacetophenone [metab-u-hilicpos] [refmet: 4-Hydroxy-3-methylacetophenone],4-Hydroxy-3-methylacetophenone,Benzenoids,0.540449510613634,log2fc,1.73710988519891e-15,2.25180911044303e-14,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-hilicpos,
SM 18:1;O2/19:1 [metab-u-hilicpos] [refmet: SM 18:1;O2/19:1],SM 18:1;O2/19:1,Sphingolipids,0.205621448819038,log2fc,3.9547754654392606e-15,4.7794166476809e-14,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-hilicpos,
Car(14:0-OH) [metab-u-lrppos] [refmet: Car(14:0-OH)],Car(14:0-OH),unclassified_no_refmet_match,0.380528886351382,log2fc,4.466033787884541e-15,9.03291350001164e-14,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-lrppos,
1-Methyl nicotinamide [metab-u-hilicpos] [refmet: 1-Methyl nicotinamide],1-Methyl nicotinamide,Alkaloids,0.611018901950427,log2fc,8.441716342521581e-15,9.530970064137271e-14,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-hilicpos,
FA 22:2 [metab-u-lrpneg] [refmet: FA 22:2],FA 22:2,unclassified_no_refmet_match,0.420977429619896,log2fc,1.0882548296352601e-15,9.83056862770514e-14,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-lrpneg,
NEFA [metab-t-conv] [refmet: NEFA],NEFA,unclassified_no_refmet_match,0.240173323675061,log2fc,4.4610947379260505e-14,1.11527368448151e-13,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-t-conv,
Car(14:1-OH) [metab-u-lrppos] [refmet: Car(14:1-OH)],Car(14:1-OH),unclassified_no_refmet_match,0.60657464812013,log2fc,6.2092902363537606e-15,1.21663280568556e-13,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-lrppos,
Car(16:3) [metab-u-lrppos] [refmet: Car(16:3)],Car(16:3),unclassified_no_refmet_match,0.467304350136942,log2fc,6.50152263066987e-15,1.23528929982728e-13,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-lrppos,
