feature_id,refmet_name,refmet_super_class,effect,effect_scale,p_value,fdr,fdr_method,fdr_scope,fdr_source,selection_status,source_study_id,source_dataset_id,contrast_id,platform,sex
pe(36:2)>pe(18:0_18:2)_feature2 [refmet: pe(18:0_18:2)_ln_b],pe(18:0_18:2)_ln_b,unclassified_no_refmet_match,0.25521913,log2fc,0.3136611,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
car(12:0)_feature2 [refmet: car(12:0)_lp_b],car(12:0)_lp_b,unclassified_no_refmet_match,-0.25458696,log2fc,0.293347,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
cer(d40:0)>cer(d18:0/22:0)_feature1 [refmet: cer(d18:0/22:0)],cer(d18:0/22:0),unclassified_no_refmet_match,-0.2545109,log2fc,0.20005086,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
hypoxanthine,hypoxanthine,Nucleic acids,0.25335544,log2fc,0.058840297,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
pc(o-32:0)_feature1 [refmet: pc(o-32:0)],pc(o-32:0),unclassified_no_refmet_match,-0.24966052,log2fc,0.14633554,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
pc(42:9)_feature1 [refmet: pc(42:9)_lp_a],pc(42:9)_lp_a,unclassified_no_refmet_match,-0.2493203,log2fc,0.36334077,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
fa(14:1) [refmet: myristoleic acid],myristoleic acid,Fatty Acyls,-0.24918975,log2fc,0.45843208,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
pe(o-38:7)>pe(o-16:1/22:6)_feature2 [refmet: pe(o-16:1/22:6)_lp_b],pe(o-16:1/22:6)_lp_b,unclassified_no_refmet_match,-0.24911527,log2fc,0.1654885,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
car(12:0)_feature1 [refmet: car(12:0)_lp_a],car(12:0)_lp_a,unclassified_no_refmet_match,-0.24883753,log2fc,0.33876416,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
pe(o-38:5)>pe(o-16:1/22:4)_feature5 [refmet: pe(o-16:1/22:4)_ln_e],pe(o-16:1/22:4)_ln_e,unclassified_no_refmet_match,-0.24868202,log2fc,0.30402967,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
pc(40:4)_feature3 [refmet: pc(40:4)_lp_c],pc(40:4)_lp_c,unclassified_no_refmet_match,-0.24794894,log2fc,0.053240452,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
ce(18:3)_m+nh3_feature1 [refmet: ce(18:3)],ce(18:3),unclassified_no_refmet_match,0.24771962,log2fc,0.15537563,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
pc(38:6)>pc(16:0_22:6)_and_pc(18:0_20:6)_m+h2co2_feature2 [refmet: pc(38:6)_ln_b],pc(38:6)_ln_b,unclassified_no_refmet_match,-0.2459281,log2fc,0.0069457176,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
13-hode,13-hode,Fatty Acyls,0.24527873,log2fc,0.8256283,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
2-piperidinone,2-piperidinone,Organoheterocyclic compounds,-0.24483417,log2fc,0.30458182,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
pc(40:7)>pc(18:1_22:6)_m+h2co2_feature3 [refmet: pc(18:1_22:6)_ln_c],pc(18:1_22:6)_ln_c,unclassified_no_refmet_match,-0.24460278,log2fc,0.021139488,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
pc(o-36:5)>pc(o-16:1/20:4)_m+h2co2_feature5 [refmet: pc(o-36:5)_ln_e],pc(o-36:5)_ln_e,unclassified_no_refmet_match,-0.2441699,log2fc,0.053158816,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
pc(36:5)>pc(16:1_20:4)_m+h2co2_feature2 [refmet: pc(16:1_20:4)_ln_b],pc(16:1_20:4)_ln_b,unclassified_no_refmet_match,-0.24401793,log2fc,0.3064977,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
sm(d42:1)_m+h2co2_feature1 [refmet: sm(d42:1)_ln_a],sm(d42:1)_ln_a,unclassified_no_refmet_match,-0.24386774,log2fc,0.032570474,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
tg(53:5)>tg(17:1_18:2_18:2)_m+nh3_feature2 [refmet: tg(17:1_18:2_18:2)_lp_b],tg(17:1_18:2_18:2)_lp_b,unclassified_no_refmet_match,0.24337696,log2fc,0.16976818,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
cer(d42:2)_feature1 [refmet: cer(d42:2)_ln_a],cer(d42:2)_ln_a,unclassified_no_refmet_match,-0.24318846,log2fc,0.121841304,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
pc(o-40:7)_feature3 [refmet: pc(o-40:7)_lp_c],pc(o-40:7)_lp_c,unclassified_no_refmet_match,-0.24303241,log2fc,0.35534227,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
tg(53:3)>tg(17:0_18:1_18:2)_and_tg(17:1_18:1_18:1)_and_tg(16:1_18:1_19:1)_and_tg(16:0_18:1_19:2)_m+nh3_feature5 [refmet: tg(53:3)_lp_e],tg(53:3)_lp_e,unclassified_no_refmet_match,0.24262328,log2fc,0.21724075,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
pc(32:2) [source metabolite label NA],pc(32:2),unclassified_no_refmet_match,0.24197036,log2fc,0.069815814,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
pc(35:3),pc(35:3),unclassified_no_refmet_match,0.24184991,log2fc,0.32157582,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
pe(o-40:5)>pe(o-18:1/22:4)_feature4 [refmet: pe(o-18:1/22:4)_lp_d],pe(o-18:1/22:4)_lp_d,unclassified_no_refmet_match,-0.2394975,log2fc,0.38939983,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
lpc(14:0) [source metabolite label NA],lpc(14:0),unclassified_no_refmet_match,0.23914734,log2fc,0.025850387,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
benzylbutylphthalate [refmet: benzyl butyl phthalate],benzyl butyl phthalate,Benzenoids,0.23895206,log2fc,0.24217463,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
pc(43:4)_feature1 [refmet: pc(43:4)],pc(43:4),unclassified_no_refmet_match,-0.23888466,log2fc,0.275944,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
uric acid [source metabolite label NA],uric acid,Nucleic acids,0.23879556,log2fc,0.06329975,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
9-hotre,9-hotre,Fatty Acyls,0.23856412,log2fc,0.82358867,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
pc(37:3)_feature1 [refmet: pc(37:3)_lp_a],pc(37:3)_lp_a,unclassified_no_refmet_match,0.23843539,log2fc,0.09610569,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
pc(36:3)>pc(16:0_20:3)_m+h2co2_feature5 [refmet: pc(16:0_20:3)_ln_e],pc(16:0_20:3)_ln_e,unclassified_no_refmet_match,0.23843303,log2fc,0.06840019,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
pe(34:2)>pe(16:0_18:2)_feature2 [refmet: pe(16:0_18:2)_ln_b],pe(16:0_18:2)_ln_b,unclassified_no_refmet_match,-0.23817892,log2fc,0.25848824,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
pc(35:0)_feature3 [refmet: pc(35:0)_lp_c],pc(35:0)_lp_c,unclassified_no_refmet_match,-0.23703036,log2fc,0.14726703,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
pe(o-38:4)_feature4 [refmet: pe(o-38:4)_lp_d],pe(o-38:4)_lp_d,unclassified_no_refmet_match,-0.2367951,log2fc,0.40237612,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
hexcer(d42:2)>hexcer(d18:1/24:1)_feature3 [refmet: hexcer(d42:2)_lp_c],hexcer(d42:2)_lp_c,unclassified_no_refmet_match,-0.23637174,log2fc,0.28124526,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
fa(12:0-oh) [refmet: hydroxydodecanoic acid],hydroxydodecanoic acid,Fatty Acyls,-0.23614453,log2fc,0.56047165,1.0,benjamini_hochberg,within_female_stratum_pass1b06_plasma_8w_timewise_da_as_released,provided,not_selected,MoTrPAC_pass1b06_rat,motrpac_pass1b06_plasma_8w,motrpac_pass1b06_plasma_8w_trained_vs_sedentary_female,not_reported,female
