study_id,study_title,species,analysis_type,number_of_samples,submission_date,release_date,institute,license,license_url,revision_comment,revision_datetime,revision_no,study_url,version
ST003038,Untargeted lipidomics of WT and Cyp2c44(-/-) mice liver.,Mus musculus,LC-MS,20,2024-01-09,2024-01-25,Vanderbilt University Medical Center,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003039,"A Non-Targeted Metabolomics Comparative Study on Plasma of Pfizer and Sinopharm COVID- 19 Vaccinated individuals, Assessed by (TIMS-QTOF) Mass Spectrometry.",Homo sapiens,LC-MS,349,2024-01-09,2024-01-31,Sharjah Institute for Medical Research,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003040,MM.1S Myeloma tumor cells and tumors made by subcutaneously injecting 1M Luc+/GFP+ MM.1S cells treated with 50 μM BMS309403 and Vehicle (PBS with a matched concentration of 5% DMSO),Homo sapiens,MS(Dir. Inf.),39,2024-01-10,2024-03-25,MaineHealth Institute for Research,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003041,"Soil pH, developmental stages and geographical origin differently influence the root metabolomic diversity and root-related microbial diversity of Echium vulgare from native habitats",Echium vulgare,LC-MS,64,2024-01-11,2024-01-16,Aristotle University of Thessaloniki,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003042,The metabolomic resetting effect of DY131 in cisplatin-induced AKI,Mus musculus,LC-MS,21,2024-01-16,2024-02-08,Children's Hospital of Nanjing Medical University,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003043,Retinoic acid receptor alpha activity in proximal tubules prevents kidney injury and fibrosis,Mus musculus,LC-MS,54,2024-01-18,2024-01-18,Weill Cornell Medicine,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003044,A High-Fat Eucaloric Diet Induces Reprometabolic Syndrome of Obesity in Normal Weight Women - lipidomics,Homo sapiens,LC-MS,50,2024-01-18,2024-02-05,University of Colorado Denver,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003045,Proteomic and metabolomic signatures of rectal tumor discriminate patients with different responses to preoperative radiotherapy,Homo sapiens,GC-MS,18,2024-01-18,2024-02-08,Institute of Bioorganic Chemistry Polish Academy of Sciences,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003046,Multi-Omics Plasma Signatures of Severe Injury with Influence of REBOA Intervention in a Swine Model.,Sus scrofa,LC-MS,324,2024-01-19,2024-02-08,University of Colorado Anschutz Medical Campus,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003047,Defective mitochondria remodelling in B cells leads to an aged immune response,Mus musculus,GC-MS,6,2024-01-19,2024-02-05,Consejo Superior de Investigaciones Científicas,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
