study_id,analysis_id,analysis_summary,analysis_type,chromatography_type,ms_instrument_type,ion_mode,units,assay_scope,assay_scope_basis,chromatography system,column_name,ms_instrument_name,ms_type,nmr_experiment_type,nmr_instrument_type,nmr_solvent,spectrometer_frequency
ST001232,AN002050,Normal phase NEGATIVE ION MODE,MS,Reversed phase,Orbitrap,NEGATIVE,peak area,unclassified_or_other,no explicit targeted/untargeted label,Thermo Dionex Ultimate 3000,"Waters XSelect HSS T3 XP (100 x 2.1mm,2.5um)",Thermo Exactive Plus Orbitrap,ESI,,,,
ST001234,AN002052,None (Direct infusion) POSITIVE ION MODE,MS,GC,GC-TOF,POSITIVE,Peak height,unclassified_or_other,no explicit targeted/untargeted label,none,none,Leco Pegasus IV TOF,EI,,,,
ST001235,AN002053,HILIC POSITIVE ION MODE,MS,HILIC,Triple quadrupole,POSITIVE,Log10(Peak Area),unclassified_or_other,no explicit targeted/untargeted label,Agilent 1290 Infinity II,Waters Atlantis HILIC (150 x 2.1mm),Agilent 6495 QQQ,ESI,,,,
ST001236,AN002054,HILIC POSITIVE ION MODE,MS,HILIC,Orbitrap,POSITIVE,Log10(Peak Area),unclassified_or_other,no explicit targeted/untargeted label,Shimadzu Nexera X2,Waters Atlantis HILIC (150 x 2.1mm),Thermo Q Exactive Orbitrap,ESI,,,,
ST001237,AN002055,HILIC POSITIVE ION MODE,MS,HILIC,Orbitrap,POSITIVE,Log10(Peak Area),unclassified_or_other,no explicit targeted/untargeted label,Shimadzu Nexera X2,Waters Atlantis HILIC (150 x 2.1mm),Thermo Q Exactive Orbitrap,ESI,,,,
ST001238,AN002056,Reversed phase NEGATIVE ION MODE/Orbitrap,MS,Reversed phase,Orbitrap,NEGATIVE,Fold change versus untreated,unclassified_or_other,no explicit targeted/untargeted label,Thermo Dionex Ultimate 3000,"Phenomenex Synergi Hydro RP 100 A (100 x 2mm,2.5um)",Thermo Q Exactive Plus Orbitrap,ESI,,,,
ST001238,AN002057,Reversed phase NEGATIVE ION MODE/QTOF,MS,Reversed phase,Triple TOF,NEGATIVE,Intensity,unclassified_or_other,no explicit targeted/untargeted label,Shimadzu Prominence 20 UFLCXR,"Waters Acquity BEH C18 (100 x 2mm,1.7um)",ABI Sciex 5600 TripleTOF,ESI,,,,
ST001239,AN002058,NMR data,NMR,,,,,unclassified_or_other,no explicit targeted/untargeted label,,,,,Other,FT-NMR,,500 MHz
ST001240,AN002059,Reversed phase NEGATIVE ION MODE,MS,Reversed phase,Orbitrap,NEGATIVE,relative abundance,unclassified_or_other,no explicit targeted/untargeted label,Thermo Vanquish,"Phenomenex Kinetex C18 (150 x 2.1mm,2.6um)",Thermo Q Exactive Orbitrap,ESI,,,,
ST001240,AN002060,Reversed phase POSITIVE ION MODE,MS,Reversed phase,Orbitrap,POSITIVE,relative abundance,unclassified_or_other,no explicit targeted/untargeted label,Thermo Vanquish,"Phenomenex Kinetex C18 (150 x 2.1mm,2.6um)",Thermo Q Exactive Orbitrap,ESI,,,,
ST001241,AN002061,Reversed phase POSITIVE ION MODE,MS,Reversed phase,Orbitrap,POSITIVE,relative abundance,unclassified_or_other,no explicit targeted/untargeted label,Thermo Vanquish,"Phenomenex Kinetex C18 (150 x 2.1mm,2.6um)",Thermo Q Exactive Orbitrap,ESI,,,,
ST001241,AN002062,Reversed phase NEGATIVE ION MODE,MS,Reversed phase,Orbitrap,NEGATIVE,relative abundance,unclassified_or_other,no explicit targeted/untargeted label,Thermo Vanquish,"Phenomenex Kinetex C18 (150 x 2.1mm,2.6um)",Thermo Q Exactive Orbitrap,ESI,,,,
ST001242,AN002063,Reversed phase POSITIVE ION MODE,MS,Reversed phase,Orbitrap,POSITIVE,relative abundance,unclassified_or_other,no explicit targeted/untargeted label,Thermo Vanquish,"Phenomenex Kinetex C18 (150 x 2.1mm,2.6um)",Thermo Q Exactive Orbitrap,ESI,,,,
ST001242,AN002064,Reversed phase NEGATIVE ION MODE,MS,Reversed phase,Orbitrap,NEGATIVE,relative abundance,unclassified_or_other,no explicit targeted/untargeted label,Thermo Vanquish,"Phenomenex Kinetex C18 (150 x 2.1mm,2.6um)",Thermo Q Exactive Orbitrap,ESI,,,,
ST001243,AN002065,Reversed phase POSITIVE ION MODE,MS,Reversed phase,Orbitrap,POSITIVE,relative abundance,unclassified_or_other,no explicit targeted/untargeted label,Thermo Vanquish,"Phenomenex Kinetex C18 (150 x 2.1mm,2.6um)",Thermo Q Exactive Orbitrap,ESI,,,,
ST001243,AN002066,Reversed phase NEGATIVE ION MODE,MS,Reversed phase,Orbitrap,NEGATIVE,relative abundance,unclassified_or_other,no explicit targeted/untargeted label,Thermo Vanquish,"Phenomenex Kinetex C18 (150 x 2.1mm,2.6um)",Thermo Q Exactive Orbitrap,ESI,,,,
