metabolite,refmet_name,log2fc,p_value,fdr,sex,neg_log10_p
tg(56:5)>tg(16:0_18:1_22:4)_m+nh3_feature5,tg(16:0_18:1_22:4)_lp_e,-0.67589515,0.0020856163,0.7108687,male,2.680765587625884
pc(o-38:5)>pc(o-18:1/20:4)_m+h2co2_feature1,pc(o-38:6)_ln_a,-0.33465707,0.002098772,0.7122625,male,2.6780347384162413
pc(38:4)>pc(18:0_20:4)_m+h2co2_feature4,pc(18:0_20:4)_ln_d,-0.38313884,0.0022909082,0.7527425,male,2.6399923132690124
pi(40:6)>pi(18:0_22:6)_feature2,pi(18:0_22:6)_lp_b,-0.5203956,0.0023454945,0.7612552,male,2.6297655811020078
pc(38:6)_feature1,pc(38:6)_lp_a,0.41933578,0.0024011196,0.77041554,male,2.619586207153966
pc(39:3)_feature1,pc(39:3)_lp_a,0.3555633,0.0024460214,0.78026694,male,2.6115397476835205
pc(38:7)_feature1,pc(38:7)_lp_a,0.9471081,0.0025595683,0.804407,male,2.591833277163803
c16:0 sm,sm(d18:1/16:0),-0.31570938,0.002570347,0.8061011,female,2.5900082424226323
NA,car(14:2),-0.42461404,0.0025733488,0.8068332,female,2.589501344124418
lpe(18:0/0:0)_and_lpe(0:0/18:0)_feature1and2,lpe(18:0)_lp_ab,0.43116736,0.0025842763,0.80900055,male,2.5876610552472283
c20:1 lpe,lpe(20:1),0.56732464,0.0026004144,0.81236976,male,2.5849574376859246
car(16:1),car(16:1),-0.8727404,0.0027875856,0.8412778,female,2.5547717876076903
3-indolepropionate,3-indolepropionic acid,0.4527173,0.0029370913,0.86607546,male,2.532082553146961
pc(39:4)>pc(19:0_20:4)_m+h2co2_feature3,pc(19:0_20:4)_ln_c,-0.43246946,0.0030415668,0.8867179,male,2.5169026409624204
pc(36:3)>pc(16:0_20:3)_m+h2co2_feature5,pc(16:0_20:3)_ln_e,0.6245319,0.0030465191,0.8875196,male,2.5161960947433193
NA,s-allylcysteine,-0.4501364,0.0031085715,0.8990973,male,2.5074391390089215
tg(56:6)>tg(18:1_18:1_20:4)_and_tg(16:0_18:1_22:5)_and_tg(18:1_18:2_20:3)_m+nh3_feature3,tg(56:6)_lp_c,-0.8201738,0.0031164195,0.9001848,male,2.5063440868555134
lpc(18:1/0:0)_and_lpc(0:0/18:1)_m+h2co2_feature1and2,lpc(18:1)_ln_b,0.27955797,0.0031357717,0.9037215,female,2.5036555636659856
c18:0 lpe a,lpe(18:0)_hp_a,0.3016414,0.003237201,0.92153007,male,2.4898303341220607
4-pyridoxate,4-pyridoxic acid,-0.5162597,0.003264131,0.9244078,male,2.486232419944073
tg(56:8)>tg(18:2_18:2_20:4)_m+nh3_feature1,tg(18:2_18:2_20:4)_lp_a,0.60597456,0.0032783363,0.92712766,male,2.484346497457785
tg(58:11)_m+nh3_feature1,tg(58:11)_lp_a,0.60843545,0.0033318412,0.9346073,male,2.477315705826836
NA,car(16:3),-0.584889,0.0034031072,0.9475627,female,2.468124370141577
pc(39:6)_feature1,pc(39:6)_lp_a,-0.7067574,0.0034986448,0.96070176,male,2.4561001470370716
dg(38:3)>dg(18:2_20:1_0:0)_m+nh3_feature2,dg(18:2_20:1)_lp_b,0.53713983,0.003502639,0.96070176,female,2.45560462100003
ltb4,ltb4,2.5957105,0.0035142107,0.9629377,male,2.4541722032550397
pyroglutamate,pyroglutamic acid,-0.37754783,0.0035615882,0.9690428,male,2.448356296216504
NA,car(18:1(oh)),0.47252476,0.0036753695,0.98856026,male,2.434698992975882
pc(o-40:4)>pc(o-20:0/20:4)_m+h2co2_feature2,pc(p-18:1/20:4)_ln_b,-0.3809085,0.0037846281,1.0,male,2.4219767904183938
NA,inosine,-1.2475268,0.0038083442,1.0,male,2.419263806767279
NA,car(3:0),0.3702501,0.003907975,1.0,male,2.408048223202184
tg(58:10)_m+nh3_feature3,tg(58:10)_lp_c,-3.1471837,0.0039665974,1.0,female,2.4015818771238795
sie(20:4)_m+nh3_feature2,sitosterol ester(20:4)_lp_b,-0.54092735,0.0040881317,1.0,male,2.3884751217622973
lpc(20:3)_feature2,lpc(20:3)_ln_b,0.53246933,0.004096103,1.0,male,2.387629131190132
pc(34:4)_feature2,pc(34:4)_lp_b,0.36185542,0.004376933,1.0,male,2.3588301013085204
sm(d33:1)_feature1,sm(d33:1),0.39130765,0.0043869563,1.0,male,2.3578366917321385
lpc(0:0/20:2)_feature1,lpc(0:0/20:2)_lp_a,0.46763322,0.0044020317,1.0,male,2.3563468343211746
dg(36:4)>dg(16:0_20:4_0:0)_m+nh3_feature2,dg(16:0_20:4)_lp_b,-0.4875334,0.0046098046,1.0,male,2.3363174830572677
pc(o-38:4)_feature2,pc(o-38:4)_lp_b,0.52875996,0.00463728,1.0,male,2.333736680514878
pc(o-38:4)>pc(o-18:0/20:4)_m+h2co2_feature6,pc(o-18:0/20:4)_ln_f,-0.34901237,0.00492445,1.0,male,2.307642267766067
pe(o-38:7)>pe(o-16:1/22:6)_and_pe(o-20:7/18:0)_feature2,pe(o-38:7)_ln_b,-0.3276334,0.0049326657,1.0,male,2.306918316843751
lpc(20:3)_feature2,lpc(20:3)_ln_b,0.40285516,0.0049401307,1.0,female,2.306261560886494
pe(38:6)>pe(16:0_22:6)_feature3,pe(16:0_22:6)_ln_c,-0.44387594,0.0050621964,1.0,female,2.295661009359194
kynurenate,kynurenic acid,-0.42334557,0.0051637106,1.0,female,2.287038105744308
lpc(14:0)_feature1and2,lpc(14:0)_ln_ab,0.40106678,0.005197639,1.0,female,2.284193887542278
NA,serine,0.15600917,0.0052149,1.0,female,2.2827540151117716
ce(20:5)_m+nh3_feature1,ce(20:5),0.6149767,0.005436287,1.0,male,2.2646976234579212
glutamine,glutamine,-0.1909931,0.005444258,1.0,male,2.2640613020356852
pc(35:2)_feature2,pc(35:2)_lp_b,0.4011395,0.005447777,1.0,male,2.263780678197258
glutamine,glutamine,-0.22366814,0.0055114576,1.0,female,2.25873352929306
