metabolite,refmet_name,log2fc,p_value,fdr,sex,neg_log10_p
21-deoxycortisol,21-deoxycortisol,0.39866504,0.3289775,1.0,male,0.4828338040560871
pe(o-42:5)>pe(o-20:1/22:4)_feature1,pe(o-20:1/22:4)_ln_a,-0.405692,0.32924062,1.0,male,0.48248658915363163
lpc(0:0/20:0)_feature1,lpc(0:0/20:0)_lp_a,0.21019058,0.32970664,1.0,female,0.48187230646217943
pc(o-36:2)_feature2,pc(o-36:2)_lp_b,0.158627,0.33011597,1.0,female,0.48133346532400617
c38:6 pe plasmalogen,pe(p-38:5)/pe(o-38:6),-0.17822511,0.33024374,1.0,female,0.48116540598966173
pc(o-40:3)_feature2,pc(o-40:3)_lp_b,0.16515313,0.33045667,1.0,female,0.48088547782302643
taurodeoxycholate,taurodeoxycholic acid,-0.5686171,0.33046845,1.0,male,0.48086999652615164
pe(o-38:5)>pe(o-18:1/20:4)_feature6,pe(o-18:1/20:4)_ln_f,-0.22101496,0.3309579,1.0,female,0.48022724779693343
car(18:1)_feature1,car(18:1)_lp_a,-0.25711063,0.33108026,1.0,male,0.48006671241809434
tg(48:0)>tg(16:0/16:0/16:0)_and_tg(14:0_16:0_18:0)_m+nh3_feature1,tg(48:0),0.27640536,0.3313338,1.0,female,0.47973425864041097
sm(d38:2)_feature1,sm(d38:2)_lp_a,-0.23266034,0.33177337,1.0,male,0.4791584758348263
pc(32:1)>pc(14:0_18:1)_and_pc(16:0_16:1)_m+h2co2_feature1,pc(32:1)_ln_a,0.17755143,0.3326141,1.0,female,0.4780593443456041
pc(o-36:0)_feature1,pc(o-36:0),-0.19686471,0.33268282,1.0,female,0.4779696258574965
tg(54:4)>tg(18:1_18:1_18:2)_and_tg(18:0_18:2_18:2)_m+nh3_feature3,tg(54:4)_lp_c,-0.21598381,0.33276078,1.0,male,0.4778678663756589
ketoisovalerate,ketoisovaleric acid,-0.14583285,0.3342284,1.0,female,0.47595665007622573
tg(56:4)_m+nh3_feature2,tg(56:4)_lp_b,-0.36294794,0.33439863,1.0,male,0.47573551049336515
pc(34:4)>pc(14:0_20:4)_m+h2co2_feature3,pc(14:0_20:4)_ln_c,0.15257393,0.33481577,1.0,male,0.4751940946970408
tg(49:1)>tg(15:0_16:0_18:0)_and_tg(16:0_16:0_17:1)_and_tg(16:0_16:1_17:0)_m+nh3_feature1,tg(49:1),0.2627019,0.3351476,1.0,female,0.4747638862523184
cer(d42:0)>cer(d18:0/24:0)_feature1,cer(d18:0/24:0),-0.20321748,0.33587182,1.0,female,0.47382643239499483
acetylcholine,acetylcholine,-0.6835792,0.33596766,1.0,male,0.47370252546583386
tg(52:2)>tg(16:0_18:1_18:1)_and_tg(16:0_18:0_18:2)_m+nh3_feature5,tg(52:2)_lp_e,0.17150451,0.33651632,1.0,female,0.4729938689910401
tg(46:0)>tg(14:0_16:0_16:0)_and_tg(12:0_16:0_18:0)_m+nh3_feature1,tg(46:0),0.37368494,0.33652613,1.0,female,0.4729812087825562
pc(34:3)_feature1,pc(34:3)_lp_a,-0.3097923,0.33786646,1.0,female,0.47125491849410106
lpc(22:4)_feature1and2,lpc(22:4)_lp_ab,0.11647129,0.33793902,1.0,male,0.47116165968321366
sie(18:2)_m+nh3_feature1,sitosterol ester(18:2),-0.1190065,0.33814737,1.0,female,0.47089398602639304
c24:0 lpc,lpc(24:0),0.20271951,0.33872572,1.0,male,0.4701518254103341
car(12:0)_feature1,car(12:0)_lp_a,-0.24883753,0.33876416,1.0,female,0.47010254266709295
tg(58:7)>tg(18:0_18:1_22:6)_m+nh3_feature5,tg(58:7)_lp_e,0.18464224,0.33876684,1.0,female,0.4700991069299488
tg(52:6)>tg(16:1_18:2_18:3)_and_tg(52:6)>tg(16:2_18:2_18:2)_m+nh3_feature4,tg(52:6)_lp_d,-0.31713155,0.34013107,1.0,male,0.4683536946969859
dg(34:2)>dg(16:0_18:2_0:0)_m+nh3_feature3,dg(16:0_18:2)_lp_c,0.13716255,0.34169158,1.0,female,0.4663657229998687
pc(32:2)>pc(14:0_18:2)_m+h2co2_feature1,pc(14:0_18:2)_ln_a,0.15474553,0.34263214,1.0,female,0.46517190123634417
car(13:0)_feature1,car(13:0),-0.2741102,0.34410173,1.0,female,0.46331314392203704
cer(d42:1)>cer(d18:1/24:0)_feature2,cer(d18:1/24:0)_lp_b,0.1388013,0.34458497,1.0,female,0.4627036693964552
tg(48:2)>tg(14:0_16:0_18:2)_and_tg(14:0_16:1_18:1)_m+nh3_feature3,tg(48:2)_lp_c,-0.45299792,0.3446438,1.0,male,0.4626295298783604
pe(o-40:4)_feature4,pe(o-40:4)_lp_d,0.1330811,0.34468916,1.0,male,0.4625723743414264
pc(38:2)>pc(18:0_20:2)_m+h2co2_feature3,pc(18:0_20:2)_ln_c,0.1301271,0.34532696,1.0,male,0.4617695145489809
hexcer(d42:2)>hexcer(d18:1/24:1)_feature3,hexcer(d42:2)_lp_c,0.14129646,0.346729,1.0,male,0.460009832952013
aminobutyrate,aminobutyric acid,0.21108492,0.34915745,1.0,male,0.4569786869485499
tg(54:2)>tg(16:0_18:1_20:1)_and_tg(18:0_18:1_18:1)_m+nh3_feature3,tg(54:2)_lp_c,-0.2707243,0.34944168,1.0,male,0.4566252953621548
tg(60:4)_m+nh3_feature1,tg(60:4)_lp_a,0.67841125,0.34974903,1.0,male,0.4562434813142809
tg(50:1)>tg(16:0_16:0_18:1)_feature4,tg(16:0_16:0_18:1)_lp_d,0.18116151,0.34982368,1.0,female,0.45615079592866276
NA,amp,-0.4178878,0.3502081,1.0,male,0.45567381329363066
tg(54:5)>tg(18:1_18:2_18:2)_and_tg(16:0_16:0_22:5)_and_tg(16:0_18:1_20:4)_m+nh3_feature3,tg(54:5)_lp_c,-0.22759177,0.35032892,1.0,male,0.4555240097619806
NA,sphingosine 1-phosphate,-0.2574434,0.35098693,1.0,male,0.4547090554275163
pc(32:0)_feature2,pc(32:0)_lp_b,-0.16963828,0.35131735,1.0,female,0.45430040180718406
c34:2 pe,pe(34:2),-0.15411408,0.35154143,1.0,male,0.4540234849824358
resolvin d2,resolvin d2,0.8900704,0.35170254,1.0,male,0.4538244951917276
tg(52:2)>tg(16:0_18:1_18:1)_and_tg(16:0_18:0_18:2)_m+nh3_feature5,tg(52:2)_lp_e,-0.2091393,0.35261285,1.0,male,0.452701865087165
erucamide_feature2,erucamide_lp_b,-0.67875063,0.3528056,1.0,male,0.4524645300317233
pc(40:7)_feature1,pc(40:7)_lp_a,0.20021266,0.35353702,1.0,female,0.45156510311199555
lpc(15:0),lpc(15:0),-0.21701197,0.35366818,1.0,female,0.45140401248398676
pc(37:4)_feature2,pc(37:4)_lp_b,-0.13487266,0.35449168,1.0,female,0.45039395335113175
pc(o-40:7)_feature3,pc(o-40:7)_lp_c,-0.24303241,0.35534227,1.0,female,0.44935312761949775
pe(34:1)_feature1,pe(34:1)_lp_a,-0.29626474,0.35579422,1.0,female,0.4488011114586565
car(18:0)_feature2,tg(50:2)_lp_b,0.5277832,0.35584724,1.0,female,0.4487363982715605
histamine,histamine,0.8974465,0.3568206,1.0,female,0.4475500808427948
tg(52:2)>tg(16:0_18:1_18:1)_and_tg(16:0_18:0_18:2)_m+nh3_feature4,tg(52:2)_lp_d,-0.3928302,0.35728538,1.0,male,0.44698475462104464
pc(34:4)_feature5,pc(34:4)_lp_e,-0.2376317,0.35860428,1.0,male,0.44538453136811906
pc(38:4)_feature4,pc(38:4)_lp_d,0.184951,0.35880736,1.0,female,0.4451386571145576
diethylphthalate,diethyl phthalate,0.16869986,0.3597231,1.0,female,0.44403167260570126
pe(38:5)_feature3,pe(38:5)_lp_c,-0.18481265,0.35986078,1.0,male,0.4438654830434835
tg(56:8)>tg(18:2_18:2_20:4)_m+nh3_feature1,tg(18:2_18:2_20:4)_lp_a,0.21996404,0.3598761,1.0,female,0.44384699464404576
tg(58:11)_m+nh3_feature1,tg(58:11)_lp_a,0.22013943,0.3601298,1.0,female,0.4435409401669401
sm(d42:2)_feature2,sm(d42:2)_lp_b,0.13731423,0.36043742,1.0,male,0.4431701276377791
car(17:1)_feature1,car(17:1),-0.2234701,0.36046523,1.0,male,0.44313662039641233
lpc(20:0/0:0)_feature2,lpc(20:0/0:0)_lp_b,-0.1347484,0.3605656,1.0,female,0.4430157097900512
pc(42:4)_feature2,pc(42:4)_lp_b,-0.16614866,0.36068287,1.0,female,0.44287448324619016
"9,10-dihome","9,10-dihome",-0.25881535,0.36147538,1.0,female,0.4419212770534398
oleamide_feature2,oleamide_lp_b,-0.6914446,0.36157677,1.0,male,0.44179947915045653
pc(32:1),pc(32:1),0.23264022,0.36215627,1.0,female,0.4411039914716057
glycodeoxycholate/glycochenodeoxycholate,glycodeoxycholic acid/glycochenodeoxycholic acid,-1.1805286,0.36270535,1.0,male,0.44044603841365954
pc(42:9)_feature1,pc(42:9)_lp_a,-0.2493203,0.36334077,1.0,female,0.4396858677783647
methyl-3-hydroxybenzoate,methyl 3-hydroxybenzoate,-0.35547253,0.36395368,1.0,male,0.43895388503350335
xanthine,xanthine,0.56470716,0.36587226,1.0,female,0.43667051695674736
car(24:1)_feature1,car(24:1),0.20609368,0.36660308,1.0,male,0.43580389065207475
c16:0 lpc,lpc(0:0/16:0),0.07498273,0.3670104,1.0,female,0.4353216289396908
fa(14:0),myristic acid,-0.17758143,0.3675165,1.0,male,0.4347231580815822
pe(36:2)>pe(18:2_18:0)_feature3,pe(36:2)_lp_c,0.20227316,0.3677386,1.0,female,0.4344607816428073
NA,sphinganine,-0.3002212,0.36815336,1.0,female,0.4339712315235549
gluconate,gluconic acid,0.22145358,0.36897156,1.0,male,0.43300710758367156
hexcer(d41:1)_m+h2co2_feature1,hexcer(d41:1),0.14148755,0.36921677,1.0,male,0.4327185813377353
NA,car(8:0),-0.10285493,0.3693552,1.0,female,0.43255578234650405
car(12:0)_feature1,car(12:0)_lp_a,-0.20409681,0.37107864,1.0,male,0.4305340437571608
pi(40:6)>pi(18:0_22:6)_feature2,pi(18:0_22:6)_ln_b,0.14239053,0.37108952,1.0,female,0.4305213104597274
c34:0 pe,pe(34:0),0.19072181,0.37126744,1.0,male,0.4303131365491609
"gtinternalstandard_pc(18:1(d7))>pc(18:1(9z,d7)/0:0)_and_pc(18:1(d7))>pc(0:0/18:1(9z,d7))_feature1","gtinternalstandard_pc(18:1(d7))>pc(18:1(9z,d7)/0:0)_and_pc(18:1(d7))>pc(0:0/18:1(9z,d7))_[istd]",0.1466891,0.37169236,1.0,female,0.4298163655761647
tg(55:7)_m+nh3_feature1,tg(55:7)_lp_a,-0.2296037,0.37444085,1.0,male,0.42661677755728095
car(18:0-oh)_feature1,car(18:0(oh)),0.24803403,0.37449527,1.0,male,0.4265536632138393
sm(d44:2)_m+h2co2_feature1,sm(d44:2)_ln_a,0.13690846,0.37563953,1.0,female,0.42522871151367886
NA,glycocholic acid,-0.3405558,0.37580982,1.0,female,0.425031875869096
methyl-histidine_feature1,n-methylhistidine,0.16875784,0.37599033,1.0,male,0.42482332443841375
cer(d41:0)>cer(d18:0/23:0)_feature1,cer(d18:0/23:0),0.17108881,0.37655422,1.0,male,0.4241724809468655
sm(d38:1),sm(d38:1),0.1876382,0.37857756,1.0,male,0.42184513220265024
c18:3 lpc,lpc(18:3),0.07753609,0.37864882,1.0,female,0.42176339224828735
pe(o-38:7)>pe(o-16:1/22:6)_feature2,pe(o-16:1/22:6)_lp_b,-0.13619025,0.3788383,1.0,male,0.42154612091000404
tg(49:2)_m+nh3_feature3,tg(49:2)_lp_c,-0.3336233,0.37914467,1.0,male,0.42119504492826676
n-acetylhistamine,n-acetylhistamine,-0.1463338,0.3791569,1.0,female,0.4211810361968484
"gtinternalstandard_pe(18:1(d7))>pe(18:1(9z,d7)/0:0)_and_pe(18:1(d7))>pe(0:0/18:1(9z,d7))_feature1","gtinternalstandard_pe(18:1(d7))>pe(18:1(9z,d7)/0:0)_and_pe(18:1(d7))>pe(0:0/18:1(9z,d7))_[istd]",0.13701743,0.37950295,1.0,male,0.4207848438429616
pe(o-38:4)_feature3,pe(o-38:4)_lp_c,-0.3469848,0.3798234,1.0,female,0.4204182829433223
NA,car(10:1),-0.14992967,0.38034296,1.0,male,0.4198246179562168
5'-methylthioadenosine,5'-methylthioadenosine,-0.12534977,0.38113895,1.0,female,0.4189166667993413
NA,car(5:1),-0.23804244,0.3813529,1.0,male,0.41867294666819044
NA,malic acid,-0.09228987,0.38136843,1.0,female,0.4186552610652327
NA,biliverdin,0.14552884,0.3816616,1.0,female,0.41832153338868283
lpc(22:0/0:0)_feature1and2,lpc(22:0)_lp_ab,-0.11958304,0.38196886,1.0,female,0.41797204148991557
car(22:2)_feature1,car(22:2),0.23794352,0.3821938,1.0,male,0.4177163624082371
pc(39:3)_feature2,pc(39:3)_lp_b,-0.21387583,0.38294825,1.0,male,0.41685991077795825
pc(32:0)_feature1,pc(32:0)_lp_a,0.21518709,0.38317493,1.0,female,0.4166029132647629
pc(o-32:1)_feature3,pc(o-32:1)_lp_c,0.14084236,0.38329276,1.0,male,0.41646938403744277
tg(52:4)>tg(16:1_18:1_18:2)_m+nh3_feature5,tg(16:1_18:1_18:2)_lp_e,0.17222226,0.38376054,1.0,female,0.4159396834340312
tg(52:3)>tg(16:0_18:1_18:2)_m+nh3_feature3,tg(52:3)_lp_c,0.1597793,0.3838121,1.0,female,0.41588133788507936
c36:2 pe,pe(36:2),0.23559886,0.38387975,1.0,female,0.4158047967005486
NA,lpc(16:1),0.09272748,0.38464436,1.0,female,0.41494063119408936
cysteine,cysteine,0.1489064,0.38478014,1.0,female,0.4147873516835852
NA,octadecadienoic acid,-0.07994952,0.38484603,1.0,male,0.4147129891824179
car(8:1),car(8:1),-0.27434403,0.38600102,1.0,male,0.4134115477122185
n-alpha-acetylarginine,n-acetylarginine,-0.2684853,0.3861412,1.0,female,0.41325385810643045
NA,creatine,0.10481269,0.38620958,1.0,male,0.41317695766813445
car(18:0)_feature2,tg(50:2)_lp_b,-0.4192802,0.38704416,1.0,male,0.4122394811046233
c22:0 sm,sm(d18:1/22:0),-0.08683923,0.38871676,1.0,female,0.410366733825647
lpc(17:0)_feature1and2,lpc(17:0)_ln_ab,0.13790019,0.3889294,1.0,female,0.41012922636869886
pe(36:1)_feature3,pe(36:1)_lp_c,0.22591743,0.3892547,1.0,male,0.4097661349018025
pe(o-40:5)>pe(o-18:1/22:4)_feature4,pe(o-18:1/22:4)_lp_d,-0.2394975,0.38939983,1.0,female,0.4096042424155712
pe(36:3)_feature1,pe(36:3)_lp_a,0.1716227,0.38974178,1.0,male,0.409223035698549
tg(58:1)>tg(16:0_18:1_24:0)_and_tg(16:0_16:0_26:1)_and_tg(18:0_18:1_22:0)_m+nh3_feature2,tg(58:1)_lp_b,0.3147842,0.38981742,1.0,female,0.40913875721215753
pe(o-40:8)>pe(o-18:2/22:6)_feature2,pe(o-40:8)_lp_b,-0.15634285,0.3900428,1.0,female,0.4088877345531061
fa(18:1-2oh)_feature1,dihydroxyoctadecenoic acid,-0.1522297,0.3903114,1.0,male,0.40858876389991816
cer(d41:0)>cer(d18:0/23:0)_feature1,cer(d18:0/23:0),-0.1373766,0.39082313,1.0,female,0.4080197414371228
pe(o-40:4)>pe(o-20:0/20:4)_feature2,pe(o-20:0/20:4)_ln_b,-0.07635469,0.39118323,1.0,male,0.4076197716619738
pc(42:2)_feature1,pc(42:2)_lp_a,-0.10774429,0.3913131,1.0,female,0.4074756129669862
tg(58:2)_m+nh3_feature2,tg(58:2)_lp_b,-0.24848811,0.39201707,1.0,male,0.4066950216392392
NA,niacinamide,-0.09257673,0.39235222,1.0,male,0.40632388573087663
butyrobetaine,3-dehydroxycarnitine,-0.05462235,0.39293522,1.0,female,0.4056790422848473
NA,threonine,0.058636628,0.39643878,1.0,female,0.4018238690297632
ps(38:4)>ps(18:0_20:4)_feature2,ps(18:0_20:4)_ln_b,-0.6282805,0.39672837,1.0,female,0.4015067420670474
pc(40:7)_feature1,pc(40:7)_lp_a,0.16441835,0.39736378,1.0,male,0.40081172168272083
pc(o-40:3)_feature1,pc(o-40:3)_lp_a,-0.11615151,0.3973735,1.0,female,0.4008010984428892
ketoisovalerate,ketoisovaleric acid,0.089991845,0.3976381,1.0,male,0.4005120100216517
25-hydroxy-cholesterol,25-hydroxycholesterol,-0.15648796,0.3977432,1.0,male,0.4003972365153757
tg(51:3)>tg(15:0_18:1_18:2)_and_tg(16:0_17:1_18:2)_and_tg(16:1_17:1_18:1)_m+nh3_feature3,tg(51:3)_lp_c,-0.3039619,0.39794353,1.0,male,0.40017855191974855
oxidized glutathione,oxidized glutathione,-0.6952357,0.3983919,1.0,female,0.39968950012048876
pe(o-40:4)>pe(o-20:0/20:4)_feature2,pe(o-20:0/20:4)_ln_b,-0.105426036,0.3985682,1.0,female,0.39949735469587216
lpe(22:6)_feature2,lpe(22:6)_ln_b,-0.11527076,0.39865902,1.0,male,0.39939840517677
tg(52:4)>tg(16:1_18:1_18:2)_m+nh3_feature1,tg(16:1_18:1_18:2)_lp_a,-0.23220098,0.39872319,1.0,male,0.39932850475357423
3-hydroxyphenyl-valerate,3-hydroxyphenyl valeric acid,-0.18852589,0.39884853,1.0,male,0.39919200424974527
sm(d40:1)_feature2,sm(d40:1)_lp_b,0.1369747,0.39929608,1.0,male,0.3987049533737207
tg(56:3)>tg(18:1_18:1_20:1)_and_tg(18:1_18:2_20:0)_and_tg(18:0_18:2_20:1)_and_tg(16:0_18:1_22:2)_m+nh3_feature3,tg(56:3)_lp_c,-0.25902075,0.39934334,1.0,male,0.39865355406453384
pe(o-38:4)_feature4,pe(o-38:4)_lp_d,-0.2367951,0.40237612,1.0,female,0.3953678014609923
tauro-beta-muricholate,tauro-beta-muricholic acid,0.77830863,0.4024967,1.0,male,0.3952376759859647
pc(o-38:4)_feature6,pc(o-38:4)_lp_f,-0.1835856,0.40341988,1.0,male,0.3942427041362275
pc(39:6)_feature2,pc(39:6)_lp_b,-0.09842164,0.40346223,1.0,female,0.39419711539136
car(17:1)_feature1,car(17:1),-0.35001785,0.40444732,1.0,female,0.3931380380152041
n-lauroylglycine,n-lauroylglycine,0.18759595,0.40451372,1.0,female,0.3930667437198369
tg(58:8)_m+nh3_feature5,tg(58:8)_lp_e,0.2384375,0.40463412,1.0,male,0.3929374989677109
c34:2 pe,pe(34:2),-0.17796813,0.40463543,1.0,female,0.39293609294478243
pe(40:6)_feature2,pe(40:6)_lp_b,-0.10362819,0.40503073,1.0,female,0.39251202527141715
sm(d42:2)_feature2,sm(d42:2)_lp_b,-0.11872305,0.40599036,1.0,female,0.39148427836494704
pe(36:4)_feature3,pe(36:4)_lp_c,-0.12506986,0.40675825,1.0,female,0.39066362980317393
sm(d41:2)_m+h2co2_feature1,sm(d41:2)_ln_a,0.072469965,0.4086615,1.0,female,0.3886362752444624
sm(d43:3)_feature1,sm(d43:3),0.12084614,0.4087223,1.0,male,0.38857166641676505
tg(54:7)>tg(16:0_16:1_22:6)_and_tg(16:0_18:2_20:5)_m+nh3_feature4,tg(54:7)_lp_d,0.18962833,0.40932915,1.0,female,0.3879273263702133
dg(38:3)>dg(18:2_20:1_0:0)_m+nh3_feature2,dg(18:2_20:1)_lp_b,-0.14121048,0.40946084,1.0,male,0.3877876269564112
n6-methyllysine,n(6)-methyllysine,0.08741715,0.41011217,1.0,male,0.3870973429158245
lpc(0:0/16:0)_feature1,lpc(0:0/16:0)_lp_a,0.12975332,0.41190454,1.0,female,0.38520342123590634
pc(37:4)>pc(17:0_20:4)_m+h2co2_feature2,pc(17:0_20:4)_ln_b,-0.11147393,0.4119071,1.0,female,0.3852007220900829
pi(38:5)>pi(18:1_20:4)_feature1,pi(18:1_20:4)_lp_a,-0.1209788,0.41261616,1.0,female,0.38445376700418366
tg(54:4)>tg(18:1_18:1_18:2)_feature4,tg(18:1_18:1_18:2)_lp_d,0.1973365,0.41265044,1.0,female,0.3844176874758271
cer(d42:2)>cer(d18:1/24:1)_feature3,cer(d18:1/24:1)_lp_c,-0.14910984,0.4134119,1.0,female,0.38361702642679446
lpc(20:4/0:0)_feature2,lpc(20:4/0:0)_lp_b,0.118714444,0.41364473,1.0,male,0.3833725043874929
tg(54:5)>tg(18:1_18:2_18:2)_m+nh3_feature3,tg(18:1_18:2_18:2)_lp_c,0.25730115,0.41457933,1.0,female,0.3823923546558591
pi(38:6)>pi(16:0_22:6)_feature1,pi(16:0_22:6),-0.10608019,0.41626623,1.0,female,0.3806288202435122
pe(o-38:6)>pe(o-18:2/20:4)_and_pe(o-16:1/22:5)_feature2,pe(o-38:6)_ln_b,-0.1955282,0.4172687,1.0,female,0.3795841911979555
lpc(20:2)_feature2,lpc(20:2)_ln_b,0.13608441,0.41750777,1.0,male,0.37933543769720773
tg(55:6)_m+nh3_feature1,tg(55:6)_lp_a,-0.17815976,0.41764504,1.0,male,0.3791926719581624
tg(56:6)>tg(18:1_18:1_20:4)_and_tg(16:0_18:1_22:5)_and_tg(18:1_18:2_20:3)_m+nh3_feature2,tg(56:6)_lp_b,0.23197345,0.4197878,1.0,female,0.3769701871677923
pe(38:3)>pe(18:0_20:3)_feature2,pe(18:0_20:3)_lp_b,0.14950979,0.4198308,1.0,male,0.3769257034873732
lpc(22:6/0:0)_and_lpc(0:0/22:6)_feature1and2,lpc(22:6)_lp_ab,0.09942735,0.41998434,1.0,male,0.37676690288395853
NA,lactic acid,-0.109090194,0.420164,1.0,male,0.37658116104744416
alpha-amino-n-butyric-acid,2-aminobutyric acid,-0.21551977,0.42082307,1.0,male,0.37590045968354446
fa(18:4),octadecatetraenoic acid,-0.20651339,0.4216181,1.0,male,0.3750807532001823
cysteine,cysteine,0.11171999,0.42228025,1.0,male,0.37439923000439496
tg(53:3)>tg(17:0_18:1_18:2)_and_tg(17:1_18:1_18:1)_and_tg(16:1_18:1_19:1)_and_tg(16:0_18:1_19:2)_m+nh3_feature1,tg(53:3)_lp_a,-0.20035471,0.42395085,1.0,male,0.3726844896597877
12-hete,12-hete,0.38692507,0.4251727,1.0,male,0.3714346289558614
pc(o-38:4)_feature2,pc(o-38:4)_lp_b,0.14528045,0.4254925,1.0,female,0.37110809066122863
sm(d40:1-oh)_feature2,sm(d40:1-oh)_lp_b,-0.2130245,0.4257099,1.0,male,0.37088625006862996
tg(49:2)_m+nh3_feature3,tg(49:2)_lp_c,0.21613277,0.42835534,1.0,female,0.36819581469034873
sm(d43:3)_feature1,sm(d43:3),-0.14515655,0.42907876,1.0,female,0.3674629831207949
lpc(17:0)_a_b,lpc(17:0),-0.11323624,0.42918682,1.0,female,0.367353623353711
cer(d40:2)>cer(d18:2/22:0)_feature2,cer(d18:2/22:0)_lp_b,0.10343506,0.42929578,1.0,male,0.3672433806370799
12-hete,12-hete,-0.40322438,0.4305747,1.0,female,0.36595149233230806
linoleoyl ethanolamide,linoleoyl-ea,-0.12539105,0.43132335,1.0,male,0.36519703037327306
"11,12-epetre","11,12-epetre",0.43663925,0.43151432,1.0,female,0.3650047874486837
pc(42:9)_feature2,pc(42:9)_lp_b,0.27370936,0.4317619,1.0,female,0.3647556837938246
lpc(19:0/0:0)_feature2,lpc(19:0/0:0)_b,0.7244951,0.4325103,1.0,male,0.3640035455866829
pc(32:1)_feature3,pc(32:1)_lp_c,-0.14833513,0.43255696,1.0,female,0.3639566956329689
pc(34:2)>pc(16:0_18:2)_m+h2co2_feature1,pc(16:0_18:2)_ln_a,0.0881582,0.43307626,1.0,female,0.36343562239710686
tg(52:4)>tg(16:1_18:1_18:2)_m+nh3_feature1,tg(16:1_18:1_18:2)_lp_a,0.17971037,0.43314907,1.0,female,0.36336261372325096
cer(d44:1)>cer(d18:1/26:0)_feature1,cer(d18:1/26:0),0.11864745,0.4331587,1.0,female,0.3633529583651768
tg(52:7)_m+nh3_feature2,tg(52:7)_lp_b,0.21660559,0.43417692,1.0,female,0.3623332665173724
carnosine,carnosine,-0.20053259,0.43459502,1.0,female,0.3619152545431322
lpc(0:0/18:1)_feature1,lpc(0:0/18:1)_lp_a,0.775107,0.43480307,1.0,male,0.3617073981658891
NA,proline,0.047547184,0.4354648,1.0,male,0.361046944637033
NA,gamma-glutamylisoleucine,0.11134351,0.43588343,1.0,female,0.36062964026505384
pc(42:9)_feature2,pc(42:9)_lp_b,0.6598691,0.43603915,1.0,male,0.360474515626715
pc(o-36:3)_feature1,pc(o-36:3)_lp_a,0.21196468,0.43798566,1.0,male,0.35854010841101613
anthranilate,2-aminobenzoic acid,0.12799953,0.4382499,1.0,male,0.3582781743316076
pe(34:2)_feature2,pe(34:2)_lp_b,-0.10948298,0.43847513,1.0,male,0.3580550344759771
sm(d40:2)_feature1,sm(d40:2)_lp_a,-0.13597113,0.43905166,1.0,female,0.3574843764937244
campesterol ester(18:2)_m+nh3_feature1,campesterol ester(18:2),0.11905008,0.43957773,1.0,male,0.35696431802994805
methyl-histidine_feature1,n-methylhistidine,-0.22054647,0.439944,1.0,female,0.35660260087468876
c24:1 ceramide (d18:1),cer(d18:0/24:1),0.099757634,0.44046754,1.0,female,0.3560860911527557
tg(53:3)>tg(17:0_18:1_18:2)_and_tg(17:1_18:1_18:1)_and_tg(16:1_18:1_19:1)_and_tg(16:0_18:1_19:2)_m+nh3_feature4,tg(53:3)_lp_d,0.28416908,0.4406333,1.0,female,0.35592268498878116
NA,sm(d32:1),0.089811295,0.4410158,1.0,male,0.35554585105394165
pc(42:7)_feature4,pc(42:7)_lp_d,-0.12743653,0.4422668,1.0,female,0.35431566094233635
sm(d42:2)_feature1,sm(d42:2)_lp_a,0.20249133,0.44253525,1.0,male,0.3540521300039886
NA,oleic acid,0.16633633,0.4437334,1.0,female,0.35287788052444863
c36:3 pe plasmalogen,pe(p-36:2)/pe(o-36:3),0.16740794,0.44397867,1.0,male,0.35263789412821334
NA,azelaic acid,-0.15128945,0.44435242,1.0,male,0.3522724502660854
NA,cer(d18:1/16:0),0.08580362,0.44506145,1.0,male,0.3515800214832194
pc(o-38:4)_feature1,pc(o-38:4)_lp_a,0.21030118,0.4462243,1.0,female,0.3504467830693182
n-acetylalanine,n-acetylalanine,0.122831084,0.44740605,1.0,male,0.3492981474994461
fa(12:1),dodecenoic acid,0.23125225,0.44785196,1.0,female,0.34886552077893274
1-methylhistidine,1-methylhistidine,-0.10503774,0.44853508,1.0,male,0.3482035850510112
allantoin,allantoin,0.11365222,0.4497408,1.0,male,0.3470377119181526
NA,gamma-glutamylleucine,-0.12309567,0.45239657,1.0,female,0.3444806964869006
pe(36:2)>pe(18:2_18:0)_feature2,pe(36:2)_lp_b,0.3278551,0.45395684,1.0,male,0.34298543577915563
NA,eicosatetraenoic acid,-0.15663719,0.45406413,1.0,female,0.3428828049881944
"5,6-dihetre","5,6-dihetre",-0.17273174,0.45435452,1.0,female,0.3426051471508182
c20:3 lpc a,lpc(20:3)_hp_a,0.08183508,0.45445436,1.0,female,0.3425097256332651
erucamide_feature1,13-docosenamide,-0.4894749,0.45449474,1.0,male,0.34247113862945866
hexcer(d40:1)_m+h2co2_feature2,hexcer(d40:1)_ln_b,-0.10701675,0.45470485,1.0,female,0.3422704134724729
NA,ketoleucine,-0.114133745,0.4554176,1.0,female,0.34159018971739946
car(18:2)_feature1,car(18:2)_lp_a,0.19285503,0.4560775,1.0,male,0.34096135259325194
anserine,anserine,-0.101133525,0.4579603,1.0,female,0.3391721688044965
fa(14:1),myristoleic acid,-0.24918975,0.45843208,1.0,female,0.3387249990696849
pc(40:5)_feature3,pc(40:5)_lp_c,0.10350333,0.45929912,1.0,female,0.3379043866733245
pc(o-38:6)_feature1,pc(o-38:6)_lp_a,-0.12139951,0.46030954,1.0,female,0.3369500241796232
