study_id,study_title,species,analysis_type,number_of_samples,submission_date,release_date,institute
ST003740,Distinct metabolic signatures in non-small cell lung cancer subtype: metabolomics and lipidomics for accurate differentiation of adenocarcinoma and squamous cell carcinoma,Homo sapiens,LC-MS,115,2025-02-20,2026-01-02,Wenzhou Medical University
ST003751,Comprehensive Lipidomic Analysis Identifies Critical Lipid and Metabolic Pathway Shifts in Alport Syndrome,Homo sapiens,LC-MS,241,2025-02-25,2025-03-17,Universidad CEU San Pablo
ST003765,1H NMR metabolomics applied to detect metabolic markers of early ostedifferentiation of mesenchymal stem cells from multiple donors,Homo sapiens,NMR,237,2025-03-03,2025-05-19,University of Aveiro
ST003798,Metabolic signature in combination with fecal immunochemical test as a non-invasive tool for advanced colorectal neoplasia diagnosis,Homo sapiens,LC-MS,211,2025-03-18,2025-07-15,CICbiogUNE
ST003806,Selective Influence of Hemp Fiber Ingestion on Post-Exercise Gut Permeability: A Metabolomics-Based Analysis,Homo sapiens,LC-MS,464,2025-03-20,2026-03-11,Appalachian State University
ST003807,A lipidomic exploration of the effects of high-intensity interval exercise in healthy men after metformin intake,Homo sapiens,LC-MS,217,2025-03-20,2025-03-21,University CEU San Pablo
ST003815,Serum metabolic fingerprints encode functional biomarkers for ovarian cancer diagnosis: a large-scale cohort study,Homo sapiens,MALDI-MS,1073,2025-03-27,2025-03-27,Shanghai Jiao Tong University
ST003867,Fatty-acid oxidation is a metabolic hallmark of human proliferative retinopathy,Homo sapiens,LC-MS,18,2025-04-17,2025-05-01,Broad Institute of MIT and Harvard
ST003869,A long non-coding RNA (lncRNA}-mediated metabolic rewiring of cell senescence,Homo sapiens,LC-MS,78,2025-04-18,2025-05-12,CIC bioGUNE - Centro de Investigación Cooperativa en Biociencias
ST003894,Postprandial Plasma Lipidomic Changes in 24 Metabolically Healthy Individuals Following Ingestion of Four Different Isocaloric Macronutrients,Homo sapiens,LC-MS,480,2025-05-02,2025-07-30,Nanjing Medical University
ST003895,Postprandial Plasma Metabolomic Changes in 24 Metabolically Healthy Individuals Following Ingestion of Four Different Isocaloric Macronutrients,Homo sapiens,LC-MS,480,2025-05-02,2025-07-30,Nanjing Medical University
ST003921,"Metabolic fingerprinting enables rapid, label-free histopathology in gastric cancer diagnosis and prognostic prediction",Homo sapiens,MS(Dir. Inf.),284,2025-05-19,2025-05-28,Fudan University
ST003939,Plasma amino acids of treated metabolic syndrome patients with and without mild cognitive impairment,Homo sapiens,GC-MS,95,2025-06-04,2025-06-25,Mahidol University
ST003942,Tryptophan metabolite concentrations in plasma of treated metabolic syndrome patients with and without mild cognitive impairment,Homo sapiens,LC-MS,95,2025-06-05,2025-06-25,Mahidol University
ST003946,Plasma tryptophan concentrations in treated metabolic syndrome patients with and without mild cognitive impairment,Homo sapiens,LC-MS,95,2025-06-06,2025-06-25,Mahidol University
ST003947,Total fatty acids in plasma of treated metabolic syndrome patients with and without mild cognitive impairment,Homo sapiens,GC-MS,95,2025-06-06,2025-06-25,Mahidol University
ST003963,Immunometabolic determinants of long-term response in preinfusion CAR-T cells of the leukemia patients receiving CD19 CAR T cell therapy,Homo sapiens,LC-MS,56,2025-06-12,2025-07-07,Translational Genomics Research Institute
ST003964,Immunometabolism determinants of enhanced antileukemic activity upon rapamycin mediated mTOR inhibition in CAR-T cells of short-term responder leukemia patients receiving CD19 CAR T cell therapy,Homo sapiens,LC-MS,48,2025-06-12,2025-07-07,Translational Genomics Research Institute
ST003965,Immunometabolic determinants of long-term response in leukapheresis T cells of the leukemia patients receiving CD19 CAR T cell therapy,Homo sapiens,LC-MS,56,2025-06-12,2025-07-07,Translational Genomics Research Institute
ST003966,Immunometabolic determinants of long-term response in bone marrow of the leukemia patients receiving CD19 CAR T cell therapy,Homo sapiens,LC-MS,64,2025-06-12,2025-07-07,Translational Genomics Research Institute
