study_id,study_title,species,analysis_type,number_of_samples,submission_date,release_date,institute
ST002300,Characterizing the intrauterine environment via untargeted metabolomics profiling of maternal blood collected during pregnancy (Healthy Start Cohort)-Part 2,Homo sapiens,LC-MS,2728,2022-09-30,2023-10-02,University of Colorado Anschutz Medical Campus
ST002328,Metabolome and transcriptome analysis of oral mucosa of HIV+ patients reveal a role for polyamine metabolic pathway in T cell dysfunction,Homo sapiens,LC-MS,66,2022-10-28,2022-12-01,Case Western Reserve University
ST002331,Comprehensive characterization of putative genetic influences on plasma metabolome in a pediatric cohort,Homo sapiens,LC-MS,882,2022-11-02,2023-04-13,Boston Children's Hospital
ST002351,Characterizing the intrauterine environment via untargeted metabolomics profiling of maternal blood collected during pregnancy (Atlanta ECHO Cohort),Homo sapiens,LC-MS,699,2022-11-21,2023-11-14,Emory University
ST002404,"Profiling Metabolites and Lipoproteins in COMETA, an Italian Cohort of COVID-19 patients-part 2",Homo sapiens,NMR,605,2022-12-15,2023-11-09,University of Florence
ST002432,Metabolic impacts of metformin to seasonal influenza vaccination: a pilot study of drug interaction with the immune response,Homo sapiens,LC-MS,360,2023-01-06,2023-01-20,Jackson Laboratory for Genomic Medicine
ST002439,Characterizing the intrauterine environment via untargeted metabolomics profiling of maternal blood collected during pregnancy (PETALS Cohort),Homo sapiens,LC-MS,364,2023-01-13,2024-01-12,Kaiser Permanente
ST002440,Impacts of interactions between environmental chemical exposures and diet on gut microbiota and microbiota-derived metabolites in mothers and children (MAAP Cohort),Homo sapiens,LC-MS,43,2023-01-13,2024-01-12,Wayne State University
ST002441,Impacts of interactions between environmental chemical exposures and diet on gut microbiota and microbiota-derived metabolites in mothers and children (MARCH Cohort),Homo sapiens,LC-MS,82,2023-01-13,2024-01-12,Wayne State University
ST002443,Characterizing the intrauterine environment via untargeted metabolomics profiling of maternal blood collected during pregnancy (ARCH Cohort),Homo sapiens,LC-MS,297,2023-01-17,2024-01-16,Michigan State University
ST002448,Metabolic analysis of primary HPV18-genome containing human foreskin keratinocytes compared to untransfected donor-matched controls.,Homo sapiens,LC-MS,96,2023-01-19,2024-12-31,"University of Birmingham, UK"
ST002496,Study of environmental toxicants and gut microbiome in relation to obesity and insulin resistance,Homo sapiens,LC-MS,264,2023-04-11,2024-02-28,Örebro University
ST002498,Plasma Metabolomics Profiling of 580 Patients from the Weill Cornell Medicine Early Detection Research Network Prostate Cancer Cohort,Homo sapiens,LC-MS,580,2023-09-01,2023-09-19,Weill Cornell Medicine
ST002501,The ECHO Cohort Exposome: First Steps using HHEAR Analysis – An Opportunity for ALL ECHO Cohorts to Contribute Type A Samples – Untargeted Analysis (ReCHARGE Cohort),Homo sapiens,LC-MS,297,2023-03-08,2024-03-01,"University of California, Davis"
ST002502,The ECHO Cohort Exposome: First Steps using HHEAR Analysis – An Opportunity for ALL ECHO Cohorts to Contribute Type A Samples – Untargeted Analysis (IKIDS Cohort),Homo sapiens,LC-MS,417,2023-03-10,2024-03-08,University of Illinois Urbana-Champaign
ST002533,Untargeted Metabolomics on First Trimester Serum Implicates Metabolic Perturbations Associated with BMI in Development of Hypertensive Disorders: A Discovery Study,Homo sapiens,LC-MS,178,2023-03-29,2023-07-06,University of North Carolina at Chapel Hill
ST002543,GC/MS analysis of hypoxic volatile metabolic markers in the MDA-MB-231 breast cancer cell line,Homo sapiens,GC-MS,24,2023-04-07,2023-04-21,University of York
ST002555,Ethnicity-Specific Differences in Ovarian Cancer Metabolic Signatures,Homo sapiens,LC-MS,48,2023-04-11,2023-04-25,University of Oklahoma Health Sciences Center
ST002559,The ECHO Cohort Exposome: First Steps using HHEAR Analysis – An Opportunity for ALL ECHO Cohorts to Contribute Type A Samples – Untargeted Analysis (VCSIP Cohort),Homo sapiens,LC-MS,279,2023-04-13,2024-04-14,Oregon Health and Science University
ST002576,Role of environmental toxicants in obesity-related cardiovascular disease: Plasma untargeted LC-HRMS analysis (part 1 of 3),Homo sapiens,LC-MS,176,2024-08-20,2025-08-20,Boston University
ST002692,Per- and poly-fluoroalkyl substances (PFAS) Exposures and Child Health (PEACH) Study: Using targeted exposure assessment and untargeted metabolic profiling to characterize molecular pathways and mechanisms underlying PFAS toxicity on adverse birth and child health outcomes,Homo sapiens,LC-MS,363,2023-05-02,2024-04-26,Emory University
ST002704,The ECHO Cohort Exposome: First Steps using HHEAR Analysis – An Opportunity for ALL ECHO Cohorts to Contribute Type A Samples – Untargeted Analysis (UCP Cohort),Homo sapiens,LC-MS,846,2023-05-17,2024-05-04,University of Utah
ST002712,Ranolazine induced metabolic rewiring improves melanoma responses to targeted therapy and immunotherapy - metabolomics,Homo sapiens,LC-MS,12,2023-05-25,2023-06-21,University of Colorado Denver
ST002713,Ranolazine induced metabolic rewiring improves melanoma responses to targeted therapy and immunotherapy - lipidomics,Homo sapiens,LC-MS,12,2023-05-25,2023-06-21,University of Colorado Denver
ST002715,Metabolic alteration of MCF-7 cells upon indirect exposure to E. coli secretome: A model of studying the microbiota effect on human breast tissue,Homo sapiens,LC-MS,36,2023-05-31,2023-06-22,King Saud University
ST002718,SAND: automated time-domain modeling of NMR spectra applied to metabolic quantification,Homo sapiens,NMR,7,2023-05-31,2023-06-21,University of Georgia
ST002719,Comparison of metabolic of A549 cells before and after Gossypol acetate (GAA) treatment,Homo sapiens,LC-MS,6,2023-05-31,2023-06-21,"Hangzhou Institute of Medicine (HIM), University of Chinese Academy of Sciences (Zhejiang Cancer Hospital), Chinese Academy of Sciences"
ST002720,Metabolic characterization of the polar endometabolome of Triple-Negative Breast Cancer parental and cDDP-resistant cells,Homo sapiens,NMR,54,2023-06-02,2024-01-01,University of Aveiro
ST002728,The ECHO Cohort Exposome: First Steps using HHEAR Analysis – An Opportunity for ALL ECHO Cohorts to Contribute Type A Samples – Untargeted Analysis (CHES Cohort),Homo sapiens,LC-MS,693,2023-06-06,2024-05-18,NYU Grossman School of Medicine
ST002733,Plasma metabolic fingerprints for large-scale screening and personalized risk stratification of metabolic syndrome,Homo sapiens,MALDI-MS,13554,2023-06-09,2023-06-15,Shanghai Jiao Tong University affiliated Renji Hospital
ST002735,Untargeted metabolomics revealed multiple metabolic perturbations in plasma of T2D patients in response to Liraglutide,Homo sapiens,LC-MS,40,2023-06-12,2023-07-02,King Faisal Specialist Hospital and Research Centre (KFSHRC)
ST002757,The ECHO Cohort Exposome: First Steps using HHEAR Analysis – An Opportunity for ALL ECHO Cohorts to Contribute Type A Samples – Untargeted Analysis (CIOB Cohort),Homo sapiens,LC-MS,644,2023-06-28,2024-06-24,"University of California, San Francisco"
ST002762,The ECHO Cohort Exposome: First Steps using HHEAR Analysis – An Opportunity for ALL ECHO Cohorts to Contribute Type A Samples – Untargeted Analysis (ECHO-NOVI Cohort),Homo sapiens,LC-MS,369,2023-06-29,2024-06-27,Emory University
ST002764,Identification of pre-diagnostic lipid sets associated with liver cancer risk using untargeted lipidomics and chemical set analysis – a nested case-control study within the ATBC cohort,Homo sapiens,LC-MS,438,2023-06-30,2023-07-03,Icahn School of Medicine at Mount Sinai
ST002766,The ECHO Cohort Exposome: First Steps using HHEAR Analysis – An Opportunity for ALL ECHO Cohorts to Contribute Type A Samples – Untargeted Analysis (GAPPS Cohort),Homo sapiens,LC-MS,457,2023-06-30,2024-07-01,University of Washington
ST002769,The ECHO Cohort Exposome: First Steps using HHEAR Analysis – An Opportunity for ALL ECHO Cohorts to Contribute Type A Samples – Untargeted Analysis (INSPIRE Cohort),Homo sapiens,LC-MS,876,2023-07-06,2024-07-01,Vanderbilt University Medical Center
ST002777,The ECHO Cohort Exposome: First Steps using HHEAR Analysis – An Opportunity for ALL ECHO Cohorts to Contribute Type A Samples – Untargeted Analysis (Project Viva),Homo sapiens,LC-MS,1646,2023-07-11,2024-07-10,Harvard Pilgrim Health Care Institute
ST002780,The ECHO Cohort Exposome: First Steps using HHEAR Analysis – An Opportunity for ALL ECHO Cohorts to Contribute Type A Samples – Untargeted Analysis (CANDLE Cohort),Homo sapiens,LC-MS,1053,2023-07-12,2024-07-15,University of Tennessee Health Science Center
ST002785,Metabolic changes of the human kidney during isolated normothermic perfusion with red blood cell based perfusate - perfusate,Homo sapiens,LC-MS,48,2023-07-18,2023-08-07,KU Leuven
ST002797,Fetal metabolic adaptations to cardiovascular stress in twin-twin transfusion syndrome,Homo sapiens,LC-MS,32,2023-07-27,2023-08-15,University of Texas Health Science Center at Houston
ST002806,"Comprehensive Metabolic Profiling of MYC-Amplified Medulloblastoma Tumors Reveals Key Dependencies on Amino Acid, Tricarboxylic Acid and Hexosamine Pathways",Homo sapiens,LC-MS,98,2023-08-03,2023-08-20,Johns Hopkins University
ST002808,The ECHO Cohort Exposome: First Steps using HHEAR Analysis – An Opportunity for ALL ECHO Cohorts to Contribute Type A Samples – Untargeted Analysis (DINE Cohorts),Homo sapiens,LC-MS,526,2023-08-04,2024-08-05,Zucker School of Medicine at Hofstra / Northwell
ST002811,Metabolomics panel associated with cystic fibrosis-related diabetes towards biomarker discovery,Homo sapiens,LC-MS,72,2023-08-14,2024-08-05,King Faisal Specialist Hospital and Research Centre (KFSHRC)
