metabolite,refmet_name,log2fc,p_value,fdr,platform,neg_log10_p
PE(P-40:4)>PE(P-20:0/20:4) [metab-u-lrpneg],PE(P-40:4)>PE(P-20:0/20:4),-0.299834148059503,0.0871256761066046,0.210813019865088,metab-u-lrpneg,1.059853838699062
"N2,N2-Dimethylguanosine [metab-u-rppos]","N2,N2-Dimethylguanosine",-0.123231827678026,0.0872065843455802,0.153222783709991,metab-u-rppos,1.0594507233587422
Pterin [metab-u-hilicpos],Pterin,0.131246021860903,0.0877130522674737,0.143467909589428,metab-u-hilicpos,1.056935776007249
3-Dehydroxycarnitine [metab-u-hilicpos],3-Dehydroxycarnitine,-0.0344518730380301,0.0877203790061072,0.143467909589428,metab-u-hilicpos,1.0568995005706048
PC(33:0)_isomer1 [metab-u-lrppos],PC(33:0)_isomer1,0.0454668617405645,0.0878662052103256,0.152188151013465,metab-u-lrppos,1.056178129622449
PC(38:6)_isomer1 [metab-u-lrppos],PC(38:6)_isomer1,-0.0705167820457575,0.0884349154013012,0.152751217511338,metab-u-lrppos,1.053376235299988
PC(42:4) [metab-u-lrppos],PC(42:4),0.0798149620171138,0.0909343678352674,0.156636946793167,metab-u-lrppos,1.041271948017561
N-Acetylhistidine [metab-u-hilicpos],N-Acetylhistidine,-0.0556772137990915,0.0911744781363684,0.148423569059204,metab-u-hilicpos,1.040126713817791
PC(36:1)>PC(18:0_18:1) [metab-u-lrpneg],PC(36:1)>PC(18:0_18:1),-0.103281142666656,0.0923384087810398,0.221448750262494,metab-u-lrpneg,1.0346176136875005
LPC 20:1 [metab-u-hilicpos],LPC 20:1,-0.185440699814551,0.0930137541681612,0.150716731291002,metab-u-hilicpos,1.031452826524922
PC(36:3) [metab-u-rppos],PC(36:3),0.2188434685301,0.0933375143232044,0.162476413821874,metab-u-rppos,1.0299437690185758
TG(60:10)_isomer2 [metab-u-lrppos],TG(60:10)_isomer2,0.196828664168088,0.0936956441050657,0.160951147544866,metab-u-lrppos,1.028280598921255
PC(38:7)_isomer1 [metab-u-lrppos],PC(38:7)_isomer1,0.0997420803379896,0.0951017590843256,0.162920226628066,metab-u-lrppos,1.021811449902225
PC(40:5)>PC(18:0_22:5) _isomer3 [metab-u-lrpneg],PC(40:5)>PC(18:0_22:5) _isomer3,0.0563953430760229,0.0952246654459102,0.226367406454751,metab-u-lrpneg,1.0212505444769435
1-Methylhistamine [metab-u-hilicpos],1-Methylhistamine,-0.118222259002016,0.0952768288308911,0.153672304565953,metab-u-hilicpos,1.021012706228936
Choline phosphate [metab-u-hilicpos],Choline phosphate,-0.124331021977707,0.0963305251401143,0.154659099995596,metab-u-hilicpos,1.0162360721769077
PC(42:7)_isomer3 [metab-u-lrppos],PC(42:7)_isomer3,0.0642963334758271,0.0979219011294383,0.167294365144844,metab-u-lrppos,1.0091201633969464
GlcCer 18:2;O2/22:0 [metab-u-hilicpos],GlcCer 18:2;O2/22:0,0.109485083754109,0.0984931823609643,0.156744535496161,metab-u-hilicpos,1.006593830065688
Creatine [metab-u-hilicpos],Creatine,-0.0689665255907954,0.0985251365975867,0.156744535496161,metab-u-hilicpos,1.0064529543457694
L-Urobilin [metab-u-rppos],L-Urobilin,0.284651696377296,0.0985494254708011,0.169975155857896,metab-u-rppos,1.0063459032525044
7alpha-Hydroxy-4-cholesten-3-one [metab-u-hilicpos],7alpha-Hydroxy-4-cholesten-3-one,0.133271120891271,0.0991224876665092,0.156981315308951,metab-u-hilicpos,1.0038278070528912
FA 21:3_isomer2 [metab-u-lrpneg],FA 21:3_isomer2,-0.0547359994469687,0.0992542937561871,0.233894900938493,metab-u-lrpneg,1.0032506965116148
Creatine [metab-u-ionpneg],Creatine,-0.220692358334098,0.099666772512831,0.155889054443146,metab-u-ionpneg,1.0014496051740218
LPC(16:0)>LPC(16:0/0:0) [metab-u-lrppos],LPC(16:0)>LPC(16:0/0:0),-0.0616746152203831,0.10046827173347,0.17117827819806,metab-u-lrppos,0.997971068458824
sn-Glycero-3-phosphocholine [metab-u-hilicpos],sn-Glycero-3-phosphocholine,-0.152201135823265,0.100599876423944,0.158603408776488,metab-u-hilicpos,0.9974025527635126
PE(O-38:3) [metab-u-lrppos],PE(O-38:3),0.119332161991544,0.101209679550046,0.171974170942761,metab-u-lrppos,0.9947779502023033
TG(52:4)>TG(16:0_18:2_18:2) [metab-u-lrppos],TG(52:4)>TG(16:0_18:2_18:2),0.069033550741878,0.102655892445784,0.17396012044191,metab-u-lrppos,0.988616117084986
FA 18:1;O2 [metab-u-lrpneg],FA 18:1;O2,-0.0869694261055933,0.102667852606395,0.239853345313215,metab-u-lrpneg,0.9885655215558562
GMP [metab-u-ionpneg],GMP,0.329228341851309,0.103243029668744,0.157445620244834,metab-u-ionpneg,0.9861392595610271
Cysteine [metab-t-amines],Cysteine,-0.102523418168945,0.104173150312111,0.12848021871827,metab-t-amines,0.9822442020909881
PC(40:3) [metab-u-lrppos],PC(40:3),0.0703207839628632,0.104537273985152,0.176670810751187,metab-u-lrppos,0.9807288291726676
Lys-Gly [metab-u-hilicpos],Lys-Gly,0.0704610244568258,0.105577810437773,0.165705083646729,metab-u-hilicpos,0.9764273490091779
PC P-38:6 or PC O-38:7 [metab-u-hilicpos],PC P-38:6 or PC O-38:7,0.0273293346788108,0.107342634579225,0.167722866530039,metab-u-hilicpos,0.9692277497497638
TG(58:10)>TG(16:0_20:4_22:6) [metab-u-lrppos],TG(58:10)>TG(16:0_20:4_22:6),0.105134358816795,0.107636393578592,0.181112096596033,metab-u-lrppos,0.9680408619595249
TG(51:2)_isomer1 [metab-u-lrppos],TG(51:2)_isomer1,-0.0778869888938196,0.107742921898438,0.181112096596033,metab-u-lrppos,0.96761125092519
TG(55:4)_isomer2 [metab-u-lrppos],TG(55:4)_isomer2,-0.115584049504818,0.110106415627004,0.184590167374684,metab-u-lrppos,0.9581873750316119
Histidine [metab-u-ionpneg],Histidine,-0.050522300714924,0.11108277748113,0.165269498203633,metab-u-ionpneg,0.9543532698143986
SM(d42:3) [metab-u-lrpneg],SM(d42:3),0.0329793031769654,0.113835892596987,0.263671170032337,metab-u-lrpneg,0.9437207827642927
LPC P-18:0 or LPC O-18:1_hp_a [metab-u-hilicpos],LPC P-18:0 or LPC O-18:1_hp_a,0.0473871811021169,0.113871809897015,0.17686247337755,metab-u-hilicpos,0.9435837765482926
Myristoleic acid [metab-u-hilicpos],Myristoleic acid,0.145158145877275,0.114202625666647,0.17686247337755,metab-u-hilicpos,0.9423239109813496
PC(42:7)_isomer1 [metab-u-lrppos],PC(42:7)_isomer1,0.0778376629829509,0.114714898199904,0.191402759760474,metab-u-lrppos,0.940380175944917
SM(d30:1) [metab-u-lrppos],SM(d30:1),-0.0316960697575048,0.115175893801341,0.191402759760474,metab-u-lrppos,0.938638408799753
Car(24:0) [metab-u-lrppos],Car(24:0),-0.0468004618895037,0.115274616147892,0.191402759760474,metab-u-lrppos,0.9382663152601916
PC(O-38:4)_isomer3 [metab-u-lrppos],PC(O-38:4)_isomer3,0.0511524424068064,0.115391137463253,0.191402759760474,metab-u-lrppos,0.9378275455876454
PE(36:3)>PE(16:0_20:3)_and_PE(18:1_18:2)_isomer2 [metab-u-lrpneg],PE(36:3)>PE(16:0_20:3)_and_PE(18:1_18:2)_isomer2,-0.50721020248594,0.115822327212005,0.265998734529266,metab-u-lrpneg,0.9362077130585074
Hex3Cer(d34:1)>Hex3Cer(d18:1/16:0) [metab-u-lrppos],Hex3Cer(d34:1)>Hex3Cer(d18:1/16:0),0.0363882596573681,0.116823670720189,0.193267655782476,metab-u-lrppos,0.9324691519015195
DG 34:1 [metab-u-hilicpos],DG 34:1,0.153743529473882,0.116847254613488,0.180160965263088,metab-u-hilicpos,0.9323814871247253
Leucine [metab-u-ionpneg],Leucine,0.0618848505998209,0.117653431927632,0.170877603513942,metab-u-ionpneg,0.9293954000179698
FA 26:4 [metab-u-lrpneg],FA 26:4,0.0545369886137799,0.11798274531706,0.268683394797674,metab-u-lrpneg,0.9281815025372838
Betaine [metab-u-hilicpos],Betaine,-0.0231935384047084,0.118068199486534,0.181245043071433,metab-u-hilicpos,0.9278670596028544
PC(31:1) [metab-u-lrppos],PC(31:1),0.0584486001949251,0.118200136619678,0.195030225422468,metab-u-lrppos,0.9273820214823608
PC(O-34:1)_isomer2 [metab-u-lrppos],PC(O-34:1)_isomer2,0.0949748047912209,0.118847920833526,0.195584373655173,metab-u-lrppos,0.9250084115666383
Sphingosine 1-phosphate [metab-u-rpneg],Sphingosine 1-phosphate,-0.141239173943184,0.119113988497048,0.17120665153353,metab-u-rpneg,0.9240372328888513
Indoleacrylic acid [metab-u-rpneg],Indoleacrylic acid,-0.107934964164688,0.119173257440006,0.17120665153353,metab-u-rpneg,0.9238211896398348
SM(d34:1)_isomer2 [metab-u-lrppos],SM(d34:1)_isomer2,0.0676036022955664,0.120175618658956,0.197251604448077,metab-u-lrppos,0.9201836334641028
PS(36:1)>PS(18:0_18:1) [metab-u-lrpneg],PS(36:1)>PS(18:0_18:1),0.204884827884371,0.120973726370533,0.272399834021103,metab-u-lrpneg,0.9173089415124669
Proline betaine [metab-u-hilicpos],Proline betaine,-0.136466802377218,0.121280075809141,0.185362561280346,metab-u-hilicpos,0.9162105402453221
LPC(16:1)_rp_a [metab-u-rppos],LPC(16:1)_rp_a,-0.138952076038187,0.121523151322862,0.207694113169982,metab-u-rppos,0.9153409769301261
LPE(16:0)>LPE(16:0/0:0)_and_LPE(0:0/16:0) [metab-u-lrpneg],LPE(16:0)>LPE(16:0/0:0)_and_LPE(0:0/16:0),-0.0560616655226198,0.121625018142264,0.272399834021103,metab-u-lrpneg,0.914977081941807
DG(32:0) [metab-u-rppos],DG(32:0),0.261241063825228,0.12325071226459,0.208748954105792,metab-u-rppos,0.9092105622601663
PI(36:2)>PI(18:0_18:2) [metab-u-lrpneg],PI(36:2)>PI(18:0_18:2),-0.234435298673617,0.124363766547584,0.273613931336844,metab-u-lrpneg,0.9053061331545768
PS(38:4)>PS(18:0_20:4)_isomer3 [metab-u-lrpneg],PS(38:4)>PS(18:0_20:4)_isomer3,-0.262475111740358,0.125000798586313,0.273613931336844,metab-u-lrpneg,0.903087212427774
PE(40:6)>PE(18:0_22:6) [metab-u-lrpneg],PE(40:6)>PE(18:0_22:6),0.639384985330242,0.12519604238291,0.273613931336844,metab-u-lrpneg,0.902409399547552
dUMP [metab-u-rppos],dUMP,-0.141931474084474,0.127798822415254,0.21451945191132,metab-u-rppos,0.8934731479062051
SM(d44:1) [metab-u-lrppos],SM(d44:1),-0.356823497810304,0.127830404318351,0.209268050933698,metab-u-lrppos,0.8933658374355827
FA 18:3;O_isomer2 [metab-u-lrpneg],FA 18:3;O_isomer2,0.19147722459882,0.127987597253238,0.277477110845021,metab-u-lrpneg,0.8928321139885359
Imidazolepropionic acid [metab-u-hilicpos],Imidazolepropionic acid,-0.111573260034067,0.128222981916533,0.19512192900342,metab-u-hilicpos,0.89203412750815
SM(d42:2)_isomer1 [metab-u-lrppos],SM(d42:2)_isomer1,0.128813897579214,0.128488181246234,0.209338008608054,metab-u-lrppos,0.8911368182906857
PC(38:3)_isomer3 [metab-u-lrppos],PC(38:3)_isomer3,0.0604452983441277,0.12854088247863,0.209338008608054,metab-u-lrppos,0.8909587228301326
Asparagine [metab-u-hilicpos],Asparagine,-0.0285162945954589,0.129012850449651,0.195474015832805,metab-u-hilicpos,0.8893670292246291
Acetaminophen [metab-u-rppos],Acetaminophen,0.210334752656447,0.129104810810795,0.214793844534774,metab-u-rppos,0.8890575743900128
PE(O-40:7)>PE(O-18:2/22:5)_isomer1 [metab-u-lrpneg],PE(O-40:7)>PE(O-18:2/22:5)_isomer1,-0.168665383977515,0.129328949035923,0.278159882450279,metab-u-lrpneg,0.8883042516134427
TG(55:3)>TG(18:1_18:1_19:1) [metab-u-lrppos],TG(55:3)>TG(18:1_18:1_19:1),-0.121710188133374,0.129392984880788,0.210179796684596,metab-u-lrppos,0.8880892685680105
PC(O-40:3) [metab-u-lrppos],PC(O-40:3),0.0611733790674833,0.132105402304308,0.214031233190701,metab-u-lrppos,0.8790794220298526
